#WAVELENGTH,FLUX,UNCERTAINTY
0.6494378,0.63001394,0.30469546
0.651661,0.1809625,0.27509272
0.6538726,0.73100656,0.24968906
0.6560737,0.5577823,0.22126544
0.6582653,-0.04457499,0.218359
0.6604484,0.38738158,0.1989777
0.6626239,0.012776075,0.20171072
0.6647928,0.1771593,0.19704093
0.6669559,0.23670255,0.19208077
0.66911423,0.14060533,0.17944929
0.6712686,-0.029925402,0.18263714
0.6734198,0.30317378,0.17204048
0.67556876,0.4924894,0.16035743
0.67771626,0.4806833,0.156515
0.6798631,0.25553375,0.15141413
0.68201,0.45685315,0.13989417
0.6841578,0.25317115,0.14036739
0.68630713,0.41441852,0.13658701
0.6884588,0.1346823,0.13522519
0.6906135,0.24589321,0.1253618
0.69277185,0.42637756,0.118072145
0.69493455,0.30365172,0.103627644
0.69710225,0.35973403,0.103036374
0.6992756,0.24852625,0.093082085
0.7014552,0.39690837,0.089034066
0.70364153,0.14189428,0.078571856
0.70583534,0.31540862,0.07327732
0.70803714,0.19260369,0.0585313
0.7102474,0.21706037,0.047662973
0.7124667,0.109324016,0.030824797
0.7146956,0.09061167,0.014839372
0.7169345,-0.0076746945,0.0040921085
0.719184,-0.049798362,0.018410614
0.7214444,-0.20296545,0.03304664
0.7237163,-0.14573152,0.03099169
0.72600013,0.051075965,0.049006633
0.7282963,-0.07469289,0.05209404
0.7306051,-0.07624372,0.054165926
0.7329271,-0.08478215,0.0547736
0.7352626,-0.09195882,0.053142693
0.7376119,-0.12696663,0.05348569
0.73997545,0.0039288076,0.051145982
0.7423536,-0.010853404,0.054921623
0.7447466,0.036881417,0.049751546
0.7471549,-0.004817759,0.048751604
0.74957865,0.060964566,0.046576235
0.7520183,0.08640182,0.048808154
0.7544739,-0.044712767,0.044099476
0.75694597,-0.0714886,0.052699618
0.7594346,0.052601878,0.06602847
0.7619402,0.085446596,0.06416661
0.76446277,0.039031807,0.055327676
0.76700264,-0.04496766,0.04985943
0.76956004,-0.03062014,0.040911134
0.77213514,-0.012385765,0.041126683
0.7747282,-0.0120650055,0.03608092
0.77733934,-0.03796725,0.037399568
0.7799687,-0.09499708,0.03399776
0.78261644,-0.103742465,0.033096757
0.7852828,-0.06966919,0.029714683
0.78796786,0.08411782,0.027813226
0.7906717,-0.031817425,0.023352642
0.7933945,-0.027836854,0.021232324
0.7961364,0.0075386474,0.015369419
0.7988974,-0.022531146,0.009323257
0.80167764,-0.008729664,0.003264992
0.8044772,0.004349894,0.001998422
0.8072962,0.013997048,0.0058621406
0.8101347,0.022751601,0.009201055
0.8129927,0.04583124,0.01156145
0.8158703,0.03288395,0.013527366
0.8187675,0.03737458,0.014460977
0.82168436,0.06437436,0.017486406
0.8246209,0.0827529,0.017817624
0.8275771,0.07480641,0.01944727
0.83055305,0.09239178,0.019447388
0.8335487,0.05539875,0.021408176
0.8365641,0.10390025,0.022355868
0.8395992,0.14637047,0.023091769
