#WAVELENGTH,FLUX,UNCERTAINTY
0.649747,0.018492121,0.15955707
0.651969,-0.010099317,0.082791194
0.654179,0.22112647,0.28409675
0.656378,0.02687609,0.20965959
0.658569,-0.08358733,0.061221335
0.660751,0.0240551,0.014964945
0.662925,-0.2078483,0.11484243
0.665093,0.012620162,0.0963044
0.667256,0.054829292,0.07862451
0.669413,-0.06694494,0.102008335
0.671567,0.23015128,0.094889835
0.673718,-0.020247208,0.018646747
0.675867,0.0116945775,0.030966893
0.678014,-0.046358574,0.014587284
0.680161,-0.0020097152,0.10939021
0.682308,-0.07789606,0.058912292
0.684456,-0.06757571,0.12032066
0.686606,0.104293704,0.07173772
0.688758,0.044051863,0.008412841
0.690913,-0.09599902,0.09403504
0.693072,0.045742474,0.031816565
0.695235,0.15190248,0.053726777
0.697404,-0.024215624,0.06755904
0.699578,0.046626955,0.048338566
0.701758,0.06694994,0.02843778
0.703946,0.08085521,0.08773366
0.70614,0.068214476,0.053902138
0.708343,0.038701326,0.016052824
0.710555,0.14061998,0.057039984
0.712775,0.061331354,0.012671903
0.715006,-0.063603394,0.017867852
0.717246,-0.0035915868,0.080780864
0.719497,-0.046900667,0.060543224
0.721759,-0.010831936,0.064845264
0.724033,-0.043236732,0.07938964
0.726318,0.06419416,0.016200714
0.728616,0.029941158,0.008678517
0.730927,0.09356329,0.06964505
0.73325,0.02961037,0.039294418
0.735588,-0.0075459997,0.05862191
0.737939,-0.030200265,0.034779683
0.740305,-0.0083327275,0.0460842
0.742685,-0.0018228011,0.022074172
0.74508,0.016683893,0.05540505
0.74749,0.029483616,0.014790882
0.749916,-0.007858151,0.010272611
0.752358,0.00573177,0.032349017
0.754816,0.028321795,0.0075004585
0.75729,-0.0044684303,0.030900314
0.759781,0.004328774,0.019821307
0.762289,-0.09438309,0.002228024
0.764814,-0.018584969,0.029927121
0.767357,-0.0022265206,0.016020417
0.769916,-0.010518052,0.03174392
0.772494,-0.006081927,0.013988019
0.77509,0.0072839237,0.02197229
0.777703,-0.007174339,0.016899329
0.780335,0.013631394,0.033769518
0.782985,0.026561972,0.03197556
0.785654,0.004395385,0.022074474
0.788342,0.0460952,0.015273862
0.791048,0.037620146,0.034355614
0.793774,0.04268297,0.003317349
0.796518,0.019408537,0.00028999374
0.799282,0.03421292,0.015846523
0.802065,0.041151725,0.0010569127
0.804867,0.041290414,0.017026916
0.807689,0.050131187,0.023038032
0.81053,0.06869156,0.03670333
0.813391,0.07224014,0.022978287
0.816271,0.06925832,0.02548473
0.819171,0.06487093,0.0068039787
0.822091,0.088632144,0.002049235
0.82503,0.102212034,0.018336996
0.827989,0.10333655,0.0015219953
0.830968,0.10201533,0.012595325
0.833966,0.062313847,0.015595247
0.836984,0.13126612,0.007534098
0.840022,0.11307748,0.012454168
0.84308,0.1426193,0.014895868
0.846157,0.13757749,0.007639048
0.849253,0.14906935,0.0033981553
0.85237,0.14371014,0.008738761
0.855506,0.1540295,0.010281481
0.858661,0.17927097,0.007164537
0.861836,0.14076367,0.019667115
0.86503,0.1740341,0.0077693695
0.868244,0.15928568,0.008928659
0.871477,0.16615649,0.01881514
0.874729,0.18010743,0.005178279
0.878,0.2289194,0.00858717
0.88129,0.21099447,0.007054119
0.884599,0.20992765,0.007464253
0.887927,0.2129138,0.007017547
0.891273,0.23278037,0.011061874
0.894638,0.23401158,0.0073618693
0.898022,0.24734308,0.03906705
0.901424,0.26161543,0.013354149
0.904844,0.2538218,0.019574633
0.908283,0.2819604,0.0119032115
0.911739,0.31680512,0.011951219
0.915213,0.33738512,0.0028545563
0.918705,0.33607158,0.0025282996
0.922215,0.32782325,0.008435645
0.925742,0.29581267,0.0050488915
0.929286,0.31742686,0.006017383
0.932848,0.29479682,0.026762972
0.936427,0.30883947,0.009471548
0.940022,0.33783185,0.007940197
0.943634,0.3676367,0.020638373
0.947263,0.37281424,0.017096194
0.950908,0.4116539,0.008365467
0.954569,0.3755414,0.010658075
0.958246,0.38006213,0.01608553
0.961939,0.4327507,0.015914869
0.965648,0.46530935,0.011346454
0.969372,0.4573414,0.0045249728
0.973112,0.47133037,0.016885925
0.976866,0.47963172,0.01418085
0.980636,0.50295883,0.0069062947
0.98442,0.4818354,0.0126501005
0.988219,0.47734797,0.0052211196
0.992033,0.4681298,0.005812416
0.99586,0.46698296,0.009412638
0.999702,0.46929333,0.015439755
1.00356,0.49639446,0.0061989794
1.00743,0.49572435,0.0073392657
1.01131,0.5278862,0.016046155
1.0152,0.5357542,0.0049379063
1.01911,0.542572,0.0054301536
1.02303,0.5422953,0.0038382271
1.02697,0.5743938,0.0056980313
1.03092,0.60417867,0.0042836
1.03487,0.59371364,0.008089354
1.03884,0.61605734,0.011061573
1.04283,0.6244287,0.013335345
1.04682,0.63988453,0.009251512
1.05083,0.64737916,0.007207878
1.05484,0.6533201,0.006722498
1.05887,0.65743405,0.004167114
1.06291,0.66911936,0.0042455937
1.06696,0.6792477,0.0132949725
1.07102,0.68566203,0.012719645
1.07509,0.7077223,0.01126174
1.07917,0.7055387,0.006476725
1.08325,0.7205777,0.006207147
1.08735,0.7187541,0.013372652
1.09146,0.6864721,0.008597705
1.09558,0.68213475,0.007577905
1.0997,0.6641452,0.0049116025
1.10384,0.642505,0.005752273
1.10798,0.6021284,0.008776734
1.11213,0.55529076,0.011043604
1.11629,0.57080656,0.007214212
1.12046,0.60857946,0.0038490621
1.12463,0.6053089,0.0045685796
1.12881,0.6042154,0.020498814
1.133,0.608276,0.0038727995
1.1372,0.60751927,0.010932652
1.1414,0.6083227,0.0067022284
1.14561,0.63777083,0.0051610437
1.14983,0.66645557,0.0063346014
1.15405,0.68194133,0.010188566
1.15828,0.6808279,0.007545833
1.16251,0.67884094,0.0043265405
1.16675,0.6550803,0.0044527277
1.17099,0.63675076,0.002895293
1.17524,0.6676124,0.006668823
1.1795,0.6998977,0.008227978
1.18376,0.72413826,0.010826135
1.18802,0.7702425,0.005504366
1.19229,0.77437323,0.0029186236
1.19656,0.78037417,0.003945945
1.20084,0.7789906,0.004186584
1.20512,0.81272614,0.0066715237
1.2094,0.84897876,0.004725672
1.21369,0.85189253,0.004579048
1.21798,0.85903364,0.0018560032
1.22227,0.88545465,0.0057025985
1.22657,0.89811337,0.0064251497
1.23087,0.89218575,0.006207414
1.23517,0.8735494,0.008124027
1.23947,0.8767466,0.0032883673
1.24378,0.87512964,0.0041973526
1.24809,0.9052445,0.007378139
1.2524,0.91216236,0.005748706
1.25671,0.9258046,0.009492117
1.26102,0.9530824,0.002086851
1.26534,0.9775631,0.014844726
1.26965,1.0,0.009563029
1.27397,0.9756661,0.0075639356
1.27828,0.99860317,0.0052681942
1.2826,0.98484427,0.010558125
1.28692,0.99302894,0.0064107478
1.29124,0.9888082,0.0104360385
1.29556,0.9825439,0.008090088
1.29987,0.9516622,0.0032506846
1.30419,0.95345247,0.0046444256
1.30851,0.9546894,0.006882891
1.31283,0.94680804,0.0016680725
1.31714,0.9276782,0.0070759896
1.32146,0.89558965,0.004986281
1.32577,0.801881,0.019608606
1.33009,0.6532734,0.012584823
1.3344,0.5173979,0.004219889
1.33871,0.44130877,0.014677032
1.34302,0.39830175,0.015518635
1.34733,0.37544468,0.012810294
1.35163,0.3452964,0.0085683325
1.35593,0.40106884,0.039146062
1.36024,0.3149438,0.023961049
1.36454,0.60859615,0.12039034
1.36883,0.17007779,0.03536578
1.37313,0.53077674,0.06806212
1.37742,0.43651134,0.104098685
1.38171,0.44051865,0.146863
1.386,0.30832335,0.06558405
1.39028,0.41801164,0.062617235
1.39456,0.27321297,0.06241953
1.39884,0.40502954,0.041269742
1.40311,0.3207204,0.011712014
1.40738,0.362846,0.025721036
1.41165,0.4051262,0.01301476
1.41592,0.38330597,0.016287528
1.42018,0.36732668,0.00777237
1.42443,0.35409787,0.018972933
1.42869,0.379472,0.013986785
1.43293,0.36325604,0.0014728972
1.43718,0.37616813,0.004696634
1.44142,0.4153645,0.009211338
1.44566,0.4460862,0.0037347768
1.44989,0.45900166,0.004628623
1.45411,0.4754643,0.008834443
1.45834,0.47345737,0.007925395
1.46256,0.46470925,0.0032895075
1.46677,0.47993174,0.013365117
1.47098,0.49717122,0.012813894
1.47518,0.5241223,0.007905559
1.47938,0.52190197,0.011242503
1.48357,0.5542573,0.012940115
1.48776,0.5672794,0.0038752332
1.49195,0.59095323,0.006911596
1.49612,0.5925435,0.005647322
1.5003,0.6153972,0.0031925684
