#WAVELENGTH,FLUX,UNCERTAINTY
0.6479591,0.11923408,0.028714728
0.6501905,0.1710888,0.025905645
0.6524096,0.12440854,0.024109092
0.6546176,0.098270506,0.021680934
0.65681535,0.1358646,0.018964611
0.659004,0.12153124,0.017715985
0.66118443,0.10780642,0.017128354
0.66335756,0.07896776,0.016975665
0.6655244,0.05441556,0.0169898
0.6676858,0.06319268,0.016429266
0.66984266,0.025738738,0.01629507
0.6719959,0.09645117,0.015733238
0.67414623,0.05179509,0.015011498
0.6762946,0.09948441,0.014688908
0.6784418,0.08142974,0.013805052
0.6805886,0.09437969,0.013275588
0.6827357,0.09359592,0.013094463
0.68488395,0.0725751,0.01307879
0.687034,0.06367531,0.013045616
0.68918663,0.10969138,0.012803278
0.6913425,0.085137665,0.01228044
0.69350225,0.07152336,0.011304414
0.69566655,0.12190061,0.010766276
0.6978361,0.1129089,0.01016457
0.70001143,0.14051712,0.00982343
0.70219326,0.10793804,0.009303782
0.7043821,0.11467705,0.008531578
0.7065785,0.090511516,0.007235268
0.7087831,0.062156983,0.0060845762
0.7109964,0.040183663,0.00575067
0.71321887,0.037763804,0.005753332
0.71545106,0.05486061,0.0061332965
0.7176935,0.041102458,0.006090822
0.7199466,0.07946222,0.006058459
0.7222109,0.028601382,0.0051266216
0.72448677,0.10295417,0.0058808257
0.7267747,0.11922968,0.0055780583
0.7290751,0.15221769,0.005610148
0.73138833,0.19473125,0.0054700347
0.7337148,0.20549865,0.00538982
0.73605496,0.24512166,0.005221668
0.73840904,0.26524004,0.0052183513
0.7407775,0.28623924,0.005116987
0.74316067,0.27502206,0.0051611834
0.7455588,0.29526675,0.0050494666
0.74797225,0.3117013,0.0049506975
0.7504014,0.32233593,0.004862375
0.75284636,0.34196633,0.0048448457
0.7553075,0.33325353,0.004875608
0.75778514,0.32366964,0.005346763
0.76027936,0.27922153,0.005606012
0.7627906,0.18961154,0.005623033
0.765319,0.13920979,0.0050631
0.76786476,0.115233235,0.0043736305
