#WAVELENGTH,FLUX,UNCERTAINTY
0.64649725,0.041423023,0.025400393
0.64873713,0.10503078,0.023801193
0.65096414,0.03253797,0.023527237
0.6531792,0.12055263,0.021297693
0.6553836,0.076072045,0.019075075
0.65757805,0.066996075,0.017523954
0.6597637,0.06424655,0.016242838
0.66194147,0.029978542,0.016044248
0.6641123,0.0032110447,0.016077826
0.66627717,0.023137739,0.015664568
0.6684369,-0.010486256,0.015525568
0.6705924,0.037108,0.015109465
0.6727445,0.0360876,0.014408966
0.6748941,0.044425536,0.014207831
0.677042,0.035037644,0.013231983
0.6791889,0.028175337,0.012857021
0.68133575,0.05655318,0.012359116
0.6834832,0.058587253,0.012262169
0.68563193,0.019581404,0.012179792
0.6877828,0.04063306,0.012216428
0.6899365,0.034408025,0.011876021
0.6920936,0.029863616,0.010947553
0.6942549,0.07354276,0.010507193
0.69642097,0.069495246,0.0097976355
0.6985925,0.084145606,0.009577464
0.70077,0.07423266,0.009141832
0.7029542,0.06953819,0.00868925
0.7051456,0.07010128,0.008218459
0.70734483,0.039263885,0.007792985
0.70955235,0.036030978,0.0076065445
0.7117688,0.032069046,0.0072508804
0.7139946,0.05192191,0.0073188436
0.71623033,0.0341535,0.00711105
0.7184764,0.05732413,0.0068254448
0.72073334,0.014598194,0.005760267
0.7230016,0.054981053,0.0064995596
0.72528166,0.06736614,0.0061676293
0.7275739,0.09615238,0.0061157667
0.72987866,0.11719834,0.0058872313
0.73219645,0.12244868,0.005683483
0.73452765,0.15287516,0.005498967
0.7368726,0.1667377,0.005370664
0.7392317,0.18534552,0.0053956565
0.7416052,0.15651935,0.0052034846
0.7439936,0.17636947,0.004958509
0.746397,0.16908501,0.004792719
0.7488159,0.18531916,0.0046693855
0.75125045,0.19388787,0.0045683323
0.75370103,0.20313826,0.0045051402
0.7561679,0.20738895,0.004698554
0.7586513,0.19846573,0.0052465983
0.76115155,0.15471599,0.005467381
0.7636687,0.10196129,0.0052719056
0.76620317,0.07042971,0.004657339
0.7687551,0.07254853,0.003973881
0.7713246,0.08686363,0.003658804
0.77391195,0.08918741,0.0035966143
0.7765174,0.10359168,0.0035664185
0.779141,0.121248744,0.0034881248
0.781783,0.12234732,0.0034432767
0.7844435,0.13683164,0.003381415
0.78712267,0.14067192,0.0033639276
0.7898206,0.14749117,0.0033148665
0.79253745,0.15192091,0.0033583357
0.7952733,0.16164549,0.003454104
0.7980283,0.17056678,0.003436256
0.80080247,0.2007791,0.0034221078
0.803596,0.24379258,0.0034956844
0.8064089,0.28240028,0.00350149
0.80924124,0.34924483,0.0036246283
0.81209314,0.38123858,0.0037036343
0.81496453,0.39282075,0.0036712307
0.8178556,0.40200302,0.003537904
0.82076627,0.40998203,0.0036240644
0.8236966,0.40198684,0.003521724
0.8266467,0.40576637,0.0038570557
0.8296164,0.38845408,0.003334206
0.8326059,0.3771279,0.0032712733
0.8356151,0.38094258,0.0033174737
0.83864397,0.3618485,0.0031981834
0.84169257,0.32387537,0.0030835744
0.84476084,0.28541452,0.0029796443
0.8478487,0.24367617,0.0027414074
0.8509562,0.24331883,0.0027120747
0.8540833,0.25824156,0.0026449389
0.8572299,0.27454492,0.0026461398
0.86039597,0.2943842,0.0026592063
0.8635815,0.307535,0.002657274
0.86678636,0.31369445,0.002637169
0.87001044,0.34709075,0.002707184
0.87325376,0.36282015,0.0026805727
0.8765163,0.41260424,0.0028117867
0.87979776,0.44202563,0.0028877426
0.8830982,0.45395184,0.0028497183
0.8864175,0.45085737,0.0028011445
0.8897556,0.44589853,0.0027894813
0.8931123,0.46748716,0.002810838
0.8964876,0.51019204,0.0029040838
0.89988124,0.53477705,0.0028624036
0.90329325,0.56193256,0.0030078492
0.9067235,0.596415,0.002961847
0.91017175,0.6384738,0.003093258
0.91363794,0.6868138,0.0031167343
0.91712195,0.7118287,0.0031132817
0.9206236,0.69399136,0.0029395053
0.9241428,0.66528344,0.0029008728
0.9276793,0.6477666,0.0028827705
0.9312331,0.65537745,0.0030388357
0.93480396,0.65888876,0.0030515203
0.93839175,0.66924214,0.003100983
0.9419963,0.6948251,0.003059253
0.94561744,0.726078,0.0030554084
0.94925505,0.7574508,0.0030714164
0.95290893,0.76374686,0.0029835685
0.9565789,0.7580619,0.002881073
0.9602648,0.7629908,0.002873171
0.9639664,0.7721167,0.0027774794
0.9676837,0.78618145,0.0028230264
0.97141635,0.79542917,0.002664221
0.9751642,0.81256694,0.0026530172
0.9789271,0.8192375,0.0026223892
0.9827049,0.8249668,0.0026140674
0.9864973,0.7750335,0.0024812003
0.9903042,0.7276268,0.0024221104
0.99412537,0.69218504,0.0023352262
0.9979606,0.69553804,0.0023634078
1.0018098,0.7158073,0.002330517
1.0056727,0.7345237,0.0022931332
1.009549,0.76392627,0.0023065547
1.0134388,0.79625756,0.002369432
1.0173416,0.7992767,0.0023218603
1.0212573,0.7945857,0.002317542
1.0251857,0.7859086,0.002277782
1.0291266,0.7944996,0.002270641
1.0330797,0.80532855,0.0022637362
1.0370451,0.8397944,0.00229142
1.0410223,0.8622161,0.0022831762
1.0450112,0.8710031,0.0022861678
1.0490115,0.8638848,0.002197865
1.0530231,0.84569955,0.0021732787
1.0570457,0.8348383,0.0021125171
1.0610793,0.84715265,0.0021257114
1.0651234,0.8604012,0.0021226055
1.069178,0.89272803,0.0021544227
1.0732428,0.91171443,0.002167572
1.0773175,0.93243086,0.0021788948
1.0814022,0.9609558,0.0021593384
1.0854963,0.98829585,0.0022054014
1.0895998,1.0,0.0021811477
1.0937126,0.9807092,0.0021162357
1.0978342,0.97700137,0.0021016654
1.1019647,0.9773359,0.0021163076
1.1061037,0.96400565,0.0020915326
1.110251,0.94891685,0.002095597
1.1144063,0.9497886,0.0021690228
1.1185697,0.96056974,0.0022082152
1.1227407,0.97467655,0.0022465854
1.1269192,0.97163665,0.0022806562
1.131105,0.9427447,0.0022191259
1.1352979,0.8924229,0.0021163274
1.1394976,0.8841529,0.0020785811
1.1437039,0.90349895,0.0020580569
1.1479168,0.95583093,0.0020656602
1.152136,0.9927019,0.0020809385
1.1563611,0.9877779,0.0019933477
1.1605922,0.978904,0.001944814
1.1648288,0.9458332,0.0018617195
1.169071,0.93430275,0.0018215044
1.1733183,0.89663404,0.0017609688
1.1775707,0.9017148,0.001749544
1.1818279,0.8985171,0.0017083032
1.1860899,0.9187067,0.0017232432
1.1903561,0.90450054,0.0016794051
1.1946268,0.87612706,0.0016734988
1.1989015,0.8637062,0.0016573342
1.2031801,0.86262834,0.0016588689
1.2074623,0.8794254,0.0016635519
1.2117481,0.9079229,0.0017178888
1.2160372,0.92540574,0.0017170231
