#WAVELENGTH,FLUX,UNCERTAINTY
0.657425,0.12279952,0.2693019
0.659611,0.46413627,0.12915635
0.661789,0.19204894,0.10639713
0.663961,-0.18977268,inf
0.666126,0.08242458,0.17816909
0.668286,0.41084462,0.047010135
0.670442,0.107049495,0.12803538
0.672594,0.31227598,0.10091225
0.674744,0.3814777,0.1387
0.676892,0.15743667,0.109430574
0.679039,0.1691043,0.08455976
0.681185,0.38622308,0.05969205
0.683333,0.13813803,0.1565605
0.685481,-0.055529557,inf
0.687632,-0.023125453,inf
0.689786,-0.09014323,inf
0.691942,0.017154658,0.05144504
0.694103,0.10375039,0.017217668
0.696269,0.043794617,0.036581784
0.69844,0.150251,0.023049757
0.700617,-0.01552896,inf
0.702801,0.08147312,0.112534575
0.704992,0.18295777,0.084969774
0.707191,0.026806258,0.1087625
0.709398,0.073510036,0.07228267
0.711613,0.045495957,0.08272294
0.713838,0.2061708,0.044207085
0.716073,0.151244,0.05319125
0.718319,-0.022181446,inf
0.720575,0.09776389,0.046596833
0.722842,0.21270539,0.028422946
0.725122,0.15885013,0.03561063
0.727413,0.08908979,0.11885881
0.729717,0.29783207,0.018950399
0.732034,0.1394193,0.033151895
0.734364,0.10980289,0.085427776
0.736708,-0.0063918075,inf
0.739066,0.14264685,0.1505908
0.741439,0.042057592,0.06241749
0.743826,0.079377756,0.06793424
0.746228,0.054539528,0.060199287
0.748646,0.10362215,0.066476874
0.751079,0.19576454,0.057281125
0.753529,0.09280559,0.016183559
0.755995,0.112089105,0.031133527
0.758477,0.06324553,0.019106258
0.760976,0.04491844,0.061104212
0.763492,0.023087284,0.023919366
0.766025,0.044531178,0.026605316
0.768576,0.020826714,0.04623689
0.771144,0.10657436,0.0015781102
0.77373,0.027293421,0.023996325
0.776334,0.0021986223,0.03359132
0.778957,0.067566976,0.027391424
0.781597,0.078007616,0.028878555
0.784257,0.06814131,0.0067093973
0.786934,0.089495346,0.014633417
0.789631,0.08132949,0.005483417
0.792347,0.13975528,0.029417828
0.795081,0.1790533,0.05468295
0.797835,0.18662465,0.036196753
0.800608,0.17599773,0.04523363
0.8034,0.2690516,0.054876238
0.806211,0.2620101,0.043876395
0.809042,0.36992437,0.020500217
0.811893,0.29207778,0.0385015
0.814763,0.37002176,0.0331641
0.817653,0.33826426,0.040040843
0.820562,0.398507,0.015040951
0.823491,0.36330128,0.055708922
0.826439,0.41239825,0.039731614
0.829408,0.3549109,0.04570714
0.832396,0.33571663,0.0239203
0.835404,0.37028718,0.022052716
0.838431,0.32274088,0.024071848
0.841478,0.35076788,0.010265797
0.844545,0.27737543,0.020285027
0.847632,0.22410068,0.0021896805
0.850738,0.2106299,0.023400825
0.853864,0.25974178,0.038192324
0.857009,0.28491595,0.011444613
0.860174,0.26709443,0.009496422
0.863358,0.2768953,0.016726084
0.866561,0.22929236,0.02016271
0.869784,0.28445873,0.012330885
0.873026,0.27539536,0.017195767
0.876287,0.3332495,0.014771305
0.879567,0.39816904,0.0321823
0.882867,0.39463735,0.012372356
0.886185,0.37195015,0.009605258
0.889521,0.34196097,0.020147944
0.892877,0.4203155,0.018190123
0.896251,0.42284226,0.02763422
0.899643,0.47457632,0.019911319
0.903054,0.49263543,0.0196936
0.906483,0.5307963,0.016726632
0.90993,0.5441826,0.019472647
0.913395,0.617913,0.029308174
0.916877,0.66092163,0.032788366
0.920378,0.63126445,0.0069876825
0.923896,0.6068746,0.017678292
0.927431,0.61573017,0.018500062
0.930984,0.595848,0.028858121
0.934553,0.60150295,0.00535884
0.93814,0.67891616,0.029691204
0.941743,0.68585134,0.017033184
0.945363,0.70797694,0.026193041
0.949,0.7492401,0.02838407
0.952653,0.7428556,0.02375534
0.956321,0.71679276,0.018453637
0.960006,0.7386072,0.0077826856
0.963707,0.7871942,0.0042720074
0.967423,0.7637645,0.022631468
0.971155,0.76314026,0.03280983
0.974901,0.7688518,0.012368538
0.978663,0.80640936,0.008315488
0.98244,0.77021563,0.0070747663
0.986231,0.677109,0.013540285
0.990037,0.60469866,0.015182638
0.993857,0.52843755,0.025157344
0.997692,0.5535292,0.0067179543
1.00154,0.58259,0.006651292
1.0054,0.6076926,0.011451573
1.00928,0.67012113,0.009564388
1.01317,0.69699115,0.0058456226
1.01707,0.6941652,0.015784984
1.02098,0.6600052,0.016264418
1.02491,0.6961045,0.018086838
1.02885,0.6957516,0.021403397
1.0328,0.7608928,0.012494053
1.03677,0.819909,0.024759293
1.04074,0.82149637,0.0107593015
1.04473,0.8494359,0.0024959915
1.04873,0.82193774,0.020186894
1.05274,0.8033737,0.012178547
1.05676,0.8165969,0.007099855
1.0608,0.82277864,0.005571739
1.06484,0.82398343,0.010542305
1.06889,0.87197304,0.013565462
1.07296,0.877281,0.019240307
1.07703,0.89968693,0.013504656
1.08112,0.9384631,0.012707778
1.08521,0.9703776,0.011339514
1.08931,0.9781895,0.008863383
1.09342,1.0,0.01388995
1.09755,0.9752075,0.005575896
1.10168,0.9399313,0.021429136
1.10581,0.9254068,0.0062616337
1.10996,0.9008578,0.016252259
1.11412,0.9481765,0.004786474
1.11828,0.9341143,0.006103168
1.12245,0.95042396,0.01491666
1.12663,0.94315284,0.0142457085
1.13081,0.91100764,0.020141
1.135,0.8678538,0.024062002
1.1392,0.850913,0.018994993
1.14341,0.9088894,0.01461392
1.14762,0.9623252,0.024179513
1.15184,0.94814575,0.0036328535
1.15607,0.9579884,0.0048536705
1.1603,0.93211335,0.009125304
1.16453,0.8867489,0.0036842867
1.16877,0.8221594,0.004724565
1.17302,0.80936354,0.003890404
1.17727,0.83388066,0.007120734
1.18153,0.85575086,0.006919576
1.18579,0.8743557,0.005742064
1.19006,0.86580324,0.014002058
1.19433,0.82901603,0.016973393
1.1986,0.8093198,0.0015035545
1.20288,0.83032024,0.016047936
1.20716,0.858719,0.016875746
1.21145,0.8718607,0.0037238633
1.21574,0.8963321,0.020193389
1.22003,0.93133307,0.017678795
1.22432,0.91293603,0.005726681
1.22862,0.9484906,0.004510436
1.23292,0.8921076,0.014193601
1.23722,0.87016296,0.027175352
1.24153,0.827364,0.005328104
1.24584,0.8219258,0.0055174287
1.25014,0.85468227,0.0091229845
1.25446,0.8854627,0.014285089
1.25877,0.9342177,0.005782016
1.26308,0.96721077,0.014837115
1.2674,0.95424396,0.011523572
1.27171,0.96948606,0.02163051
1.27603,0.99400616,0.02772109
1.28034,0.93664604,0.022252034
1.28466,0.9568035,0.012494511
1.28898,0.95091003,0.018874865
1.2933,0.94067675,0.0123925395
1.29762,0.97704643,0.006768499
1.30193,0.96618295,0.009599338
1.30625,0.9684025,0.0069096596
1.31057,0.950913,0.023075258
1.31489,0.94220054,0.021632977
1.3192,0.89801997,0.0041117375
1.32352,0.8813813,0.0125920065
1.32783,0.8182281,0.004598182
1.33214,0.7033826,0.0062816604
1.33645,0.6007912,0.012295573
1.34076,0.5731559,0.0061251028
1.34507,0.51862866,0.014484893
1.34938,0.4812779,0.005370452
1.35368,0.49158874,0.03478083
1.35799,0.49752095,0.030520137
1.36229,0.48745367,0.050242543
1.36659,0.5887787,0.020998413
1.37088,0.46542352,0.007840033
1.37518,0.45886105,0.02254657
1.37947,0.5587696,0.0286697
