#WAVELENGTH,FLUX,UNCERTAINTY
0.6481377,0.50357944,0.21254519
0.65036803,1.4541465,0.21530458
0.6525862,0.67486584,0.20023575
0.6547933,0.58337986,0.1812639
0.65699035,0.5524271,0.15626381
0.65917826,0.8719016,0.14717811
0.66135806,0.44310588,0.13671996
0.6635307,0.38042974,0.14364906
0.6656971,0.07463328,0.13481821
0.66785806,0.62570167,0.13958952
0.6700146,0.17129284,0.13701485
0.6721676,0.391825,0.13333824
0.6743178,0.022996856,0.12874569
0.676466,0.11739547,0.12182827
0.6786131,0.16142656,0.11344345
0.6807599,0.13533238,0.1137895
0.6829071,0.39701793,0.10269931
0.68505543,0.362624,0.105934255
0.6872057,0.30582815,0.10145152
0.68935853,0.2850332,0.099858955
0.6915147,0.019329416,0.09809109
0.69367474,0.105799854,0.09350993
0.69583946,0.036934502,0.0842405
0.6980095,0.03988273,0.0873215
0.7001853,0.19463034,0.078286186
0.70236766,0.0060824663,0.07634586
0.70455706,0.14540711,0.07173432
0.70675415,0.30051604,0.06911839
0.7089594,0.23831594,0.065524004
0.7111734,0.13144214,0.06589501
0.7133966,0.20835459,0.060660295
0.71562964,0.23951732,0.06296718
0.7178729,-0.0505323,0.0586114
0.7201269,0.033475917,0.05933776
0.7223921,0.18841039,0.056289893
0.7246689,0.015532347,0.05493806
0.7269578,-0.010779211,0.053283527
0.7292592,-0.049606845,0.053830322
0.7315735,0.087394774,0.049311355
0.7339011,-0.09279817,0.048167646
0.7362423,0.061959352,0.044963766
0.7385975,-0.02023109,0.044211958
0.74096715,-0.009065791,0.042078707
0.74335146,0.06584134,0.04139745
0.74575084,0.089493625,0.037383486
0.74816555,-0.14659739,0.039516788
0.75059587,0.045579616,0.03557302
0.75304216,-0.03149962,0.036593184
0.7555046,-0.033484656,0.034292366
0.75798357,-0.055841085,0.038555358
0.7604792,-0.03739994,0.042078983
0.76299185,-0.07793516,0.04417824
0.7655216,-0.040883463,0.03917626
0.7680688,-0.053412776,0.036045384
0.7706336,-0.050795734,0.03144905
0.7732161,-0.049702164,0.031161256
0.77581674,-0.059519522,0.031149471
0.7784354,0.036415696,0.030224549
0.7810725,-0.015145924,0.028985098
0.783728,-0.015636979,0.029024715
0.7864021,0.01212452,0.028195033
0.789095,-0.042044617,0.028933609
0.79180676,0.046567075,0.027001694
0.79453754,-0.007373472,0.027140472
0.7972874,0.08356591,0.026729142
0.8000564,0.10837795,0.02611055
0.80284476,0.15346238,0.0250745
0.80565244,0.050882097,0.024822844
0.80847955,0.110405475,0.02360377
0.8113262,0.098732874,0.023624783
0.81419235,0.110173404,0.022724828
0.8170781,0.13897099,0.023548314
0.81998354,0.1299028,0.022641558
0.82290864,0.15057658,0.022918917
0.82585335,0.15042675,0.022955481
0.82881784,0.13461526,0.022900792
0.831802,0.14875695,0.022604108
0.8348059,0.17556311,0.022548044
0.83782953,0.16692774,0.021941507
0.8408728,0.15489565,0.021670835
0.84393585,0.18635578,0.0206526
0.8470185,0.2032819,0.020484721
0.8501207,0.21284595,0.018859819
0.8532426,0.22740783,0.018335521
0.8563839,0.20376423,0.01770007
0.8595448,0.2031753,0.017861182
0.8627251,0.18139479,0.017103497
0.8659247,0.19613095,0.017195046
0.8691437,0.18883139,0.0172184
0.87238187,0.18329032,0.017919177
0.8756392,0.19544637,0.017767765
0.8789156,0.14645846,0.020602342
0.882211,0.25465843,0.01858634
0.8855253,0.26504496,0.018523041
0.8888583,0.23183784,0.018268311
0.89221007,0.2076648,0.0184109
0.89558035,0.24448958,0.017911403
0.8989691,0.27569535,0.017247615
0.90237623,0.2847457,0.01613738
