#WAVELENGTH,FLUX,UNCERTAINTY
0.65387,0.1573034,0.3343856
0.656071,0.2718389,0.3325735
0.658263,0.049769882,0.3034715
0.660446,0.3047891,0.16480134
0.662622,-0.005347824,0.26827285
0.664791,-0.023651082,0.09140999
0.666954,0.1557866,0.06806319
0.669112,0.19950473,0.09229976
0.671266,0.0019829408,0.1647719
0.673418,0.10683914,0.06066624
0.675566,0.006808459,0.113855
0.677714,0.0861512,0.096938506
0.679861,0.17925857,0.31568104
0.682008,0.13241462,0.047295578
0.684156,0.16042845,0.19299111
0.686305,0.10436204,0.09839639
0.688457,0.13883446,0.13935453
0.690611,0.2561873,0.0528568
0.69277,0.25284836,0.121612586
0.694932,0.12719768,0.15084326
0.6971,0.083486535,0.060494564
0.699273,0.32554138,0.07660825
0.701453,0.2598665,0.051197313
0.703639,0.2764978,0.13095132
0.705833,0.21852861,0.021139883
0.708035,0.23334236,0.06134465
0.710245,0.14499465,0.05677838
0.712464,0.18205112,0.031289548
0.714693,0.1198842,0.015270573
0.716932,0.22568165,0.10212521
0.719182,0.06392468,0.11711645
0.721442,0.15233292,0.056417663
0.723714,0.12661637,0.08794081
0.725998,0.19728495,0.043576986
0.728294,0.21735594,0.010164623
0.730603,0.336462,0.030078592
0.732925,0.3388569,0.047168776
0.73526,0.35506657,0.08343925
0.737609,0.38005066,0.04167723
0.739973,0.40017515,0.012702949
0.742351,0.4374339,0.03591248
0.744744,0.4624971,0.06556827
0.747152,0.5698966,0.06251662
0.749576,0.5279719,0.034211993
0.752016,0.51022226,0.03142557
0.754471,0.56568336,0.02970315
0.756943,0.5811381,0.050232593
0.759432,0.58899486,0.03724551
0.761938,0.508428,0.06042535
0.76446,0.39290506,0.026539737
0.767,0.27764878,0.02316225
0.769557,0.2628916,0.03618879
0.772133,0.24696796,0.022197144
0.774725,0.31263503,0.015719721
0.777337,0.29828012,0.026556864
0.779966,0.3224543,0.04220668
0.782614,0.31396273,0.008992497
0.78528,0.363693,0.031523075
0.787965,0.36626622,0.02930345
0.790669,0.4138426,0.044499848
0.793392,0.44643703,0.007826029
0.796134,0.4702345,0.016636308
0.798895,0.5206003,0.0058390736
0.801675,0.51572603,0.021742417
0.804474,0.60712045,0.043267038
0.807293,0.721997,0.024262605
0.810132,0.7075243,0.044519227
0.81299,0.72176445,0.058981415
0.815867,0.7886949,0.018736495
0.818764,0.7791074,0.011871075
0.821681,0.7221233,0.029928615
0.824618,0.76174986,0.0057836645
0.827574,0.6979949,0.011623056
0.83055,0.7177977,0.020420315
0.833546,0.6984181,0.031023467
0.836561,0.66301095,0.017520577
0.839596,0.6607229,0.0263314
0.842651,0.61070204,0.011532917
0.845725,0.6140875,0.012252639
0.848819,0.49179596,0.0116450675
0.851933,0.50387293,0.017331308
0.855066,0.53796095,0.013122335
0.858219,0.55762196,0.014578366
0.861391,0.60742354,0.01998349
0.864582,0.6122444,0.007981352
0.867793,0.6480011,0.013389964
0.871024,0.64212763,0.013520175
