#WAVELENGTH,FLUX,UNCERTAINTY
0.65721,0.104162805,0.0044586603
0.659397,0.11924745,0.016754318
0.661576,0.10997871,0.008719476
0.663748,0.09269793,0.01336936
0.665914,0.06937052,0.013227852
0.668074,0.088998556,0.011298313
0.67023,0.059155826,0.03856026
0.672383,0.066795826,0.022205692
0.674533,0.046039462,0.0036164562
0.676681,0.06724098,0.0073799775
0.678828,0.081561625,0.021023054
0.680975,0.049213257,0.036596645
0.683122,0.059345502,0.009686926
0.685271,0.056254163,0.012597521
0.687421,0.065435976,0.005076319
0.689574,0.06724829,0.008675245
0.691731,0.097572744,0.031978887
0.693891,0.10841213,0.025230784
0.696056,0.13818622,0.034174584
0.698227,0.14016181,0.0408523
0.700403,0.17017473,0.012195699
0.702586,0.18124239,0.012967905
0.704777,0.20124206,0.00723855
0.706975,0.15452267,0.004827785
0.709181,0.1388572,0.028070785
0.711396,0.13489017,0.017243057
0.71362,0.12599754,0.016376866
0.715854,0.14991471,0.020987676
0.718098,0.13655505,0.007320474
0.720353,0.1579629,0.015108893
0.722619,0.19475111,0.02946516
0.724898,0.2291624,0.024578925
0.727188,0.25735325,0.014106432
0.72949,0.2934542,0.017571932
0.731806,0.3428478,0.010565059
0.734135,0.36051527,0.016142508
0.736477,0.34900653,0.016583199
0.738834,0.36725518,0.009081737
0.741205,0.39388883,0.010757827
0.743591,0.361672,0.0050590564
0.745992,0.38457942,0.013565823
0.748408,0.39755893,0.0048758346
0.75084,0.39709714,0.0065678866
0.753288,0.4229866,0.0061289417
0.755752,0.43397343,0.008889944
0.758233,0.4026742,0.004354763
0.76073,0.3729858,0.005195285
0.763244,0.30894217,0.0057971845
0.765776,0.20915014,0.016032437
0.768325,0.20174775,0.013024971
0.770891,0.22215927,0.0040406655
0.773476,0.2814459,0.0043658107
0.776078,0.32774448,0.00062534725
0.778699,0.35100606,0.008332115
0.781337,0.37139568,0.004978189
0.783995,0.40633374,0.009744601
0.786671,0.4366054,0.002941256
0.789366,0.4495865,0.003950448
0.792079,0.45721838,0.0026050308
0.794812,0.4778517,0.0005684392
0.797564,0.5143702,0.006885469
0.800335,0.5580941,0.010504216
0.803125,0.60776836,0.0042683305
0.805935,0.632772,0.004556181
0.808764,0.6640063,0.0040405435
0.811612,0.68596363,0.011386776
0.81448,0.6589779,0.008598357
0.817368,0.62520105,0.005158365
0.820275,0.6399124,0.00691321
0.823202,0.6929538,0.0011958213
0.826149,0.7101793,0.0018478456
0.829116,0.7091843,0.004263578
0.832102,0.70433867,0.003960224
0.835108,0.71007377,0.003033667
0.838133,0.68202794,0.0041946517
0.841179,0.670245,0.0008652215
0.844244,0.64966446,0.005491178
0.847328,0.6201158,0.004906988
0.850432,0.62459177,0.0072127176
0.853556,0.6437101,0.008310628
0.856699,0.6678689,0.003319678
0.859862,0.6654116,0.0036114561
0.863045,0.67082584,0.0011653709
0.866246,0.65431106,0.010782035
0.869467,0.64662635,0.002519029
0.872707,0.6724383,0.00077502395
0.875966,0.6859108,0.00450805
0.879245,0.7110364,0.0043112217
0.882542,0.72979724,0.0045191385
0.885858,0.7364299,0.006137349
0.889193,0.72121495,0.0016743595
0.892547,0.7319052,0.004259313
0.895919,0.77307034,0.005251824
0.899309,0.7939838,0.0005061737
0.902718,0.7809743,0.0020574564
0.906145,0.79129094,0.0026185317
0.909591,0.819808,0.0010168762
0.913054,0.8473907,0.0008070462
0.916535,0.87238634,0.0044682864
0.920034,0.8876257,0.0047181607
0.92355,0.8747624,0.002192588
0.927083,0.85402757,0.009840051
0.930634,0.8261563,0.00939148
0.934202,0.8070746,0.003975309
0.937787,0.8014939,0.0062763803
0.941389,0.81521827,0.0014851667
0.945007,0.84246397,0.005502429
0.948642,0.87971765,0.0021124352
0.952293,0.8912934,0.0038327402
0.955961,0.87823915,0.0013168104
0.959644,0.86814183,0.001092728
0.963343,0.8747908,0.0014838061
0.967058,0.89016426,0.0013223505
0.970788,0.89132184,0.0035807784
0.974533,0.9018944,0.0025113565
0.978293,0.923275,0.001457137
0.982069,0.9252815,0.0011850822
0.985859,0.9078041,0.003504415
0.989663,0.85572124,0.0015084605
0.993482,0.82657063,0.0010429481
0.997315,0.82084775,0.0070158485
1.00116,0.8384916,0.0061739045
1.00502,0.8397183,0.002557359
1.0089,0.8458595,0.0035110193
1.01278,0.8631257,0.00067194685
