#WAVELENGTH,FLUX,UNCERTAINTY
0.651867,0.068899944,0.091548555
0.654078,0.05294249,0.15633796
0.656278,0.1611785,0.052811492
0.658469,0.054593384,0.0655361
0.660651,0.2368126,0.08286399
0.662826,0.08923012,0.06622072
0.664994,0.1665607,0.037536707
0.667157,0.18590987,0.022112656
0.669315,0.0120725725,0.022844031
0.671469,0.20137124,0.04846096
0.67362,0.15457709,0.032284718
0.675769,0.05309705,0.07859162
0.677916,0.032825198,0.045599684
0.680063,-0.030616347,0.037069872
0.68221,0.042017445,0.0338056
0.684358,-0.028174376,0.08791153
0.686507,0.017463153,0.002588854
0.688659,0.14470178,0.033859607
0.690814,0.07067299,0.023103666
0.692973,0.04160129,0.02356205
0.695136,0.043043215,0.021370875
0.697304,0.09008031,0.025672507
0.699478,0.041817516,0.04464108
0.701658,0.058587655,0.016761161
0.703845,0.11511022,0.049676836
0.70604,0.070683986,0.04085695
0.708242,0.07820257,0.07637649
0.710454,0.107723035,0.03498043
0.712674,0.093932986,0.04639292
0.714904,0.09292313,0.012712053
0.717143,0.09921129,0.046834614
0.719394,0.10509507,0.06193932
0.721655,0.1388659,0.016828384
0.723928,0.13889949,0.030204114
0.726213,0.23242123,0.019929143
0.728511,0.25756565,0.025429368
0.730821,0.2542603,0.01942759
0.733144,0.26794705,0.015024247
0.735481,0.24705854,0.023145497
0.737831,0.1764853,0.0089814
0.740196,0.19617051,0.047554202
0.742576,0.19515593,0.01350315
0.74497,0.18983562,0.014769621
0.74738,0.19999255,0.040974002
0.749805,0.1677371,0.0035251062
0.752246,0.13839987,0.010113439
0.754703,0.15268444,0.011373879
0.757177,0.12919584,0.016673017
0.759667,0.07837322,0.027673377
0.762174,0.05439011,0.0027003866
0.764698,0.018142167,0.024800906
0.76724,0.024523402,0.02991129
0.769799,0.027480712,0.0056125843
0.772376,0.045434322,0.0075216973
0.77497,0.06790579,0.0025040507
0.777583,0.11820677,0.018207861
0.780214,0.11626776,0.014673742
0.782864,0.15770428,0.037387446
0.785532,0.20748697,0.047445204
0.788219,0.2459705,0.041236583
0.790924,0.28494304,0.018747691
0.793649,0.33975285,0.0049150498
0.796393,0.35217872,0.011281181
0.799155,0.40714368,0.026243817
0.801937,0.46199667,0.01200468
0.804739,0.49017933,0.011727703
0.80756,0.5220404,0.011654606
0.8104,0.5237962,0.008184529
0.81326,0.5184837,0.016945498
0.816139,0.5277928,0.02780751
0.819038,0.53680927,0.009956597
0.821957,0.57401234,0.011936039
0.824895,0.6332017,0.013542861
0.827853,0.654542,0.0066297906
0.830831,0.6548385,0.0026057833
0.833829,0.68049353,0.0110549545
0.836846,0.6338047,0.01124479
0.839883,0.63165015,0.0168363
0.842939,0.62856096,0.011185204
0.846016,0.6368959,0.0014819308
0.849111,0.619627,0.0026274459
0.852227,0.66409266,0.008066103
0.855362,0.6771175,0.0033156713
0.858517,0.6596581,0.01418411
0.86169,0.61837,0.024910102
0.864884,0.5379012,0.02930109
0.868097,0.49488103,0.024403796
0.871329,0.4366952,0.010843692
0.87458,0.45774677,0.012356874
0.87785,0.5255991,0.030794282
0.881139,0.57486665,0.015399006
0.884447,0.5892289,0.008493281
0.887774,0.59718883,0.011761268
0.89112,0.6403466,0.01464002
0.894484,0.6621405,0.004669184
0.897867,0.7123625,0.021913514
0.901268,0.716748,0.02217904
0.904688,0.7319352,0.007449797
0.908125,0.7479983,0.012387353
0.911581,0.80236626,0.00422052
0.915054,0.8698494,0.0020329787
0.918545,0.8726716,0.005997852
0.922054,0.8852585,0.008093185
0.92558,0.8913133,0.011057095
0.929124,0.9203719,0.018244509
0.932685,0.9173946,0.007641498
0.936263,0.91089386,0.01418462
0.939857,0.92661136,0.0038592913
0.943469,0.965472,0.008803978
0.947096,0.98497,0.010613656
0.950741,0.9932696,0.009570231
0.954401,0.9524765,0.017015943
0.958077,0.9073313,0.013096614
0.96177,0.90222496,0.005922161
0.965478,0.8915883,0.004796211
0.969201,0.89376044,0.0032899238
0.97294,0.95132565,0.009425822
0.976694,0.9762579,0.008460542
0.980463,1.0203701,0.008368098
0.984247,0.9525708,0.024698585
0.988045,0.82345897,0.018799834
0.991858,0.66877073,0.028572077
0.995685,0.5789437,0.007011778
0.999526,0.60331243,0.01274275
1.00338,0.6625863,0.013423924
1.00725,0.70344025,0.015796646
1.01113,0.72808,0.012086556
1.01503,0.7469594,0.003233755
1.01893,0.74449265,0.01208964
1.02286,0.7596504,0.005298903
