#WAVELENGTH,FLUX,UNCERTAINTY
0.65254,0.8353096,0.10292156
0.654747,0.9074007,0.09319306
0.656944,0.7375949,0.043383338
0.659132,0.7485774,0.031207368
0.661312,0.750995,0.13866605
0.663485,0.6152745,0.060307387
0.665652,0.6024741,0.030836226
0.667813,0.44747484,0.05577027
0.669969,0.43760914,0.029825067
0.672122,0.53777826,0.06857017
0.674273,0.3315615,0.023839464
0.676421,0.47575054,0.04330911
0.678568,0.36043695,0.06206175
0.680715,0.27963385,0.03776474
0.682862,0.2001705,0.03991483
0.68501,0.20164081,0.08596258
0.68716,0.26535812,0.079248704
0.689313,0.29299498,0.10746603
0.691469,0.26498583,0.067020796
0.693629,0.29994664,0.12573768
0.695794,0.3091896,0.036386803
0.697964,0.28339812,0.055548046
0.70014,0.46416816,0.05431328
0.702322,0.52169627,0.048399605
0.704511,0.6085595,0.03870075
0.706708,0.66210026,0.07629405
0.708913,0.6505202,0.033992425
0.711127,0.66219217,0.06344336
0.71335,0.5907171,0.038362928
0.715583,0.64179903,0.020405635
0.717826,0.6573616,0.035829976
0.720079,0.72607,0.07419658
0.722344,0.7664221,0.03696868
0.724621,0.78475857,0.026630722
0.72691,0.82900375,0.045708083
0.729211,0.8458601,0.0256129
0.731525,0.80639046,0.041846603
0.733852,0.8526327,0.036720715
0.736193,0.8903833,0.041858785
0.738548,0.85020125,0.03033892
0.740917,0.8705784,0.028435182
0.743301,0.8938397,0.04284076
0.7457,0.8159827,0.008445848
0.748115,0.87499076,0.0325375
0.750545,0.8827399,0.012872013
0.752991,0.84431124,0.023934375
0.755453,0.9248662,0.02614192
0.757931,0.8862422,0.014543323
0.760427,0.9497936,0.04189946
0.762939,0.91299427,0.033380672
0.765468,0.77865946,0.024445929
0.768015,0.8074407,0.014207456
0.77058,0.8054575,0.017806174
0.773162,0.8872947,0.012163742
0.775762,0.9734387,0.01986108
0.77838,0.96340513,0.0208001
0.781017,0.96896195,0.01910101
0.783672,1.0316217,0.022650478
0.786346,1.0243803,0.03271767
0.789038,1.0148962,0.014550309
0.79175,1.0265107,0.010843628
0.79448,1.0219467,0.018292772
0.797229,1.0755359,0.008243363
0.799998,1.0717187,0.010739433
0.802786,1.0775834,0.021507822
0.805593,1.079291,0.011816685
0.80842,1.1339189,0.01799857
0.811266,1.0805365,0.0074897497
0.814132,1.0852338,0.0086336015
0.817017,1.0763448,0.018857617
0.819922,1.0463707,0.015309206
0.822847,1.0732814,0.025503282
0.825791,1.1023155,0.015274345
0.828755,1.108564,0.01547614
0.831739,1.0825312,0.010934012
0.834743,1.070395,0.013962044
0.837766,1.0700895,0.0099334465
0.840809,1.0430753,0.008564429
0.843871,1.0204322,0.008363253
0.846954,1.0439601,0.015670283
0.850055,1.0379875,0.0076770214
0.853177,0.99927837,0.011278955
0.856318,1.0311598,0.009250592
0.859478,1.0307782,0.012502159
0.862658,1.0187224,0.0053369
0.865857,0.9866687,0.010783166
0.869076,0.9529557,0.010651807
0.872314,0.9399393,0.009852669
0.875571,0.9551826,0.011549739
0.878847,0.99312407,0.009571176
0.882142,0.9976789,0.01060334
0.885455,0.99843264,0.019467141
0.888788,1.0328603,0.0075066416
0.892139,1.0366591,0.010417952
0.895509,1.0448518,0.010944399
0.898898,1.042055,0.011833485
0.902304,1.0545083,0.011696174
0.905729,1.0538948,0.0062622023
0.909172,1.0519896,0.008527291
0.912634,1.0539062,0.008617169
0.916112,1.0970575,0.008010451
0.919609,1.0978365,0.014152257
