#WAVELENGTH,FLUX,UNCERTAINTY
0.650019,0.70326984,0.09546646
0.652239,0.46696743,0.08059568
0.654448,0.6595788,0.070000485
0.656647,0.4007508,0.060261525
0.658836,0.40528563,0.05823132
0.661017,0.38565314,0.053650748
0.663191,0.34772173,0.05650185
0.665358,0.3751382,0.055777386
0.66752,0.36128914,0.059782267
0.669677,0.28863546,0.051883824
0.67183,0.32097998,0.052554093
0.673981,0.1987591,0.04952606
0.67613,0.19685829,0.04827186
0.678277,0.16626897,0.045142613
0.680424,0.09852796,0.046068184
0.682571,0.13273667,0.043189187
0.684719,-0.039720953,0.04553739
0.686869,0.021668714,0.042969745
0.689021,0.082340024,0.04287783
0.691177,0.10985374,0.03903102
0.693336,0.15640888,0.03696124
0.6955,0.21629715,0.035581112
0.697669,0.20146224,0.034653686
0.699844,0.26537132,0.03184748
0.702025,0.30621445,0.032654036
0.704214,0.4199742,0.029995807
0.706409,0.45598224,0.030312741
0.708613,0.54629457,0.027678953
0.710826,0.51695997,0.02743534
0.713048,0.46029398,0.026163315
0.715279,0.42257774,0.026348883
0.717521,0.46523798,0.02404664
0.719773,0.54583764,0.025143912
0.722036,0.53616744,0.023680877
0.724311,0.5385957,0.024907578
0.726598,0.6721925,0.022657035
0.728898,0.6665843,0.022635464
0.73121,0.7118614,0.0212852
0.733535,0.7093004,0.021665577
0.735875,0.7140744,0.019876523
0.738228,0.69662297,0.020460928
0.740595,0.6942293,0.01867171
0.742977,0.7017529,0.018915005
0.745374,0.6810736,0.017633418
0.747786,0.6746339,0.018396031
0.750214,0.7088567,0.017275568
0.752658,0.710727,0.017804
0.755118,0.7398119,0.017518995
0.757594,0.78181857,0.018480485
0.760087,0.76570344,0.023255175
0.762597,0.67531145,0.024827506
0.765124,0.55812186,0.022575503
0.767669,0.536983,0.019917673
0.770231,0.57380134,0.01604852
0.77281,0.64359915,0.015956443
0.775408,0.73748463,0.015002764
0.778024,0.7961537,0.014774825
0.780658,0.79344666,0.01409709
0.783311,0.8402407,0.014277955
0.785982,0.8587919,0.014105724
0.788672,0.8844922,0.014013433
0.791381,0.91134554,0.013794844
0.794108,0.91024035,0.014375771
0.796855,0.930731,0.014953616
0.799621,0.9580146,0.0150524955
0.802407,0.9514793,0.014179712
0.805211,1.0026727,0.014622838
0.808035,0.9851256,0.013963142
0.810879,0.9972637,0.014125862
0.813742,0.9879682,0.013509762
0.816625,0.94645023,0.013591373
0.819527,0.92582685,0.011434105
0.822449,0.94548327,0.012512407
0.825391,0.991281,0.012596065
0.828352,1.0022635,0.012884363
0.831333,1.018097,0.012199934
0.834334,0.9888368,0.011831459
0.837354,0.9858296,0.012700364
0.840395,0.96524334,0.012890631
0.843455,0.95199734,0.012122121
0.846534,0.9331831,0.012258327
0.849633,0.95850873,0.010791519
0.852752,0.931071,0.010350597
0.85589,0.95200795,0.009661015
0.859048,0.9574753,0.009513997
0.862226,0.93202204,0.009160184
0.865422,0.90852946,0.009684206
0.868638,0.8760892,0.008796172
0.871873,0.87278444,0.009189063
0.875128,0.86119616,0.009252105
0.878401,0.90856665,0.009871765
0.881693,0.9319477,0.009653044
0.885005,0.94016993,0.009738136
0.888335,0.9629772,0.009653469
0.891684,0.9807527,0.009540562
0.895051,1.0065088,0.009400876
0.898437,0.98026925,0.0093471855
0.901841,0.98608994,0.008650243
0.905264,0.9499597,0.009305291
0.908704,0.9969635,0.0091084335
0.912163,1.0276105,0.009311906
0.915639,1.0412524,0.008923478
0.919133,1.0481781,0.009061305
0.922645,1.0279771,0.008293458
0.926174,1.0338031,0.00884548
0.929721,1.0304983,0.008930386
0.933285,1.0444722,0.009813585
0.936865,1.0225762,0.009949684
0.940463,1.0244597,0.009738932
0.944077,1.0204562,0.009477201
0.947707,1.0332,0.009464423
0.951354,1.0285696,0.008846914
0.955017,1.0136896,0.008235649
0.958697,0.9964694,0.0077990848
0.962392,1.0085067,0.008260861
0.966102,0.9882046,0.008049977
0.969828,0.99462575,0.007951071
0.97357,0.97924906,0.007642582
0.977326,1.0111048,0.0074641886
0.981098,1.0297012,0.0071664336
0.984884,1.0015914,0.0073669567
0.988685,0.9656418,0.007249108
0.9925,0.9366127,0.007649277
0.996329,0.9094407,0.0076486394
1.00017,0.9177905,0.0075159143
1.00403,0.91621506,0.007055811
1.0079,0.93385255,0.0069992514
1.01178,0.9553155,0.006927469
1.01568,0.96242464,0.00739857
1.01959,0.94295675,0.007259867
1.02351,0.96376354,0.007639899
1.02745,0.9755537,0.0073885284
1.0314,0.95342124,0.007406593
1.03536,0.9559265,0.0074904896
1.03933,0.949949,0.0072199116
1.04331,0.97289443,0.007105623
1.04731,0.98393804,0.006879145
1.05132,0.9878512,0.0061484105
1.05534,0.97113836,0.0056765657
1.05936,0.99152803,0.005315396
1.0634,0.99457794,0.005346904
1.06745,0.9864273,0.0058086272
1.07151,0.9723419,0.0062748394
1.07558,0.97437686,0.0064680036
1.07967,0.98130006,0.006967691
1.08376,0.9820332,0.0066905506
1.08785,1.0,0.007122705
1.09196,0.9696162,0.0067828945
1.09608,0.9644091,0.006654792
1.10021,0.96757585,0.007713886
1.10434,0.9695205,0.006215597
1.10849,0.95278895,0.0057207984
1.11264,0.95966434,0.0054533286
1.1168,0.95617616,0.005242843
1.12097,0.9532911,0.005305221
1.12514,0.9502812,0.005817766
1.12933,0.9336985,0.0065432927
1.13352,0.90456307,0.0064642048
1.13771,0.8924993,0.006943648
1.14192,0.8889448,0.0067140353
1.14613,0.8945051,0.006652109
1.15034,0.9268257,0.0068526315
1.15456,0.91490275,0.00651856
1.15879,0.9168261,0.0063760313
1.16303,0.9000123,0.005983859
1.16727,0.8916811,0.0054096803
1.17151,0.89689606,0.004964507
1.17576,0.88368726,0.00447311
1.18002,0.87450325,0.004245011
1.18428,0.8683559,0.0040302756
1.18854,0.87938344,0.0040095802
1.19281,0.8666582,0.004431454
1.19708,0.84827965,0.0050421874
1.20136,0.8539861,0.0052020904
1.20564,0.84447265,0.005657066
1.20993,0.85708904,0.005560364
1.21421,0.8562814,0.0054975087
1.21851,0.8462739,0.0056588994
1.2228,0.8557182,0.00547073
1.2271,0.8526313,0.005532762
1.2314,0.84742683,0.0054066516
1.2357,0.84220123,0.005034935
1.24,0.83318466,0.004715156
1.24431,0.82578856,0.0043450072
1.24862,0.8319918,0.0041299523
1.25293,0.8294707,0.0039636204
1.25724,0.8255787,0.004103147
1.26155,0.83381957,0.0044643427
1.26586,0.8337823,0.005335693
1.27018,0.82822204,0.005945178
1.2745,0.8396615,0.0064482386
1.27881,0.83371854,0.005999001
1.28313,0.81824636,0.005834131
1.28745,0.81041723,0.0055827596
1.29176,0.8125479,0.0053746123
1.29608,0.8201166,0.0055001387
1.3004,0.8007259,0.0052961092
1.30472,0.80456734,0.005337765
1.30904,0.78596294,0.0053958124
1.31335,0.79237604,0.00502832
1.31767,0.7827085,0.0048256726
1.32198,0.78463733,0.0045169443
1.3263,0.767842,0.004242514
1.33061,0.7461107,0.0041776653
1.33492,0.71480757,0.0037365046
1.33924,0.6791104,0.00357174
1.34354,0.66437405,0.0036289638
1.34785,0.6596532,0.004169191
1.35216,0.64483184,0.0047234446
1.35646,0.63145566,0.006363226
1.36076,0.64287657,0.008484177
1.36506,0.62234604,0.009804765
1.36936,0.6484847,0.009576932
1.37365,0.6516886,0.00830876
1.37795,0.6316602,0.008285276
1.38223,0.6378874,0.0080509335
1.38652,0.6332436,0.008385405
1.3908,0.6072776,0.0077423654
1.39508,0.5988029,0.007928596
1.39936,0.610803,0.008620012
1.40364,0.5821379,0.009206491
1.40791,0.5708711,0.0094043035
1.41217,0.560056,0.009368466
1.41644,0.5763783,0.008528809
1.4207,0.5720161,0.007291508
1.42495,0.56248146,0.0060962345
1.42921,0.55173004,0.0057862047
1.43345,0.5354263,0.006045121
1.4377,0.55020773,0.005942521
1.44194,0.55798906,0.005458403
1.44617,0.5457924,0.005926289
1.4504,0.5567936,0.0063545387
1.45463,0.53942716,0.007015085
1.45885,0.5664292,0.006926619
1.46307,0.5391827,0.0066413493
1.46728,0.53602403,0.006556629
1.47149,0.53325844,0.006213578
1.47569,0.52088386,0.0066502495
1.47989,0.5317521,0.006706862
1.48409,0.519954,0.0069696032
1.48827,0.50868726,0.006680987
1.49246,0.53549534,0.0057593198
1.49664,0.5260775,0.0051710345
1.50081,0.5291646,0.0065979664
1.50498,0.5217791,0.0073388754
1.50914,0.52089447,0.0073535135
1.51329,0.51832014,0.006629368
1.51744,0.5143804,0.0053420155
1.52159,0.4990171,0.006087839
1.52573,0.5125048,0.0066940836
1.52986,0.5062617,0.0072242683
1.53399,0.5015568,0.0067833737
1.53811,0.5069657,0.006795833
1.54223,0.5050583,0.0061566196
1.54634,0.50175345,0.0058311024
1.55044,0.4938632,0.005856925
1.55454,0.50226885,0.0058006574
1.55863,0.4978747,0.0061992854
1.56272,0.49883643,0.0063134404
1.5668,0.49282977,0.0059412196
1.57088,0.4743874,0.0052824537
1.57494,0.487474,0.004682612
1.57901,0.4755245,0.006517949
1.58306,0.47293687,0.0073547624
1.58711,0.46912462,0.007291375
1.59115,0.4780509,0.00629774
1.59519,0.4752535,0.0047401544
1.59922,0.4827027,0.0057120323
1.60324,0.46972233,0.0064925514
1.60726,0.4582696,0.0071529374
1.61127,0.44886246,0.0070635686
1.61528,0.44816375,0.006548022
1.61928,0.44550976,0.0067614554
1.62327,0.45154032,0.005839524
1.62725,0.4570927,0.0057093217
1.63123,0.46111485,0.0055602584
1.6352,0.4574301,0.0055317255
1.63917,0.4483922,0.00587398
1.64313,0.45692003,0.006117673
1.64708,0.44137076,0.0062606004
1.65103,0.44856226,0.006003332
1.65497,0.4565401,0.0066287834
1.6589,0.4312038,0.0042266008
1.66283,0.4391179,0.0045353016
1.66675,0.42658925,0.00673659
1.67066,0.4252078,0.006864161
1.67457,0.43030587,0.0069993045
1.67847,0.43179622,0.005066655
1.68236,0.4268841,0.004003682
1.68625,0.421701,0.005091043
1.69013,0.41692173,0.0057536876
1.694,0.41070786,0.0060839076
1.69787,0.40090752,0.006428473
1.70173,0.40186656,0.005933595
1.70558,0.39872378,0.006009522
1.70943,0.3995367,0.0056770435
1.71327,0.40011585,0.0052195447
