#WAVELENGTH,FLUX,UNCERTAINTY
0.650771,0.44355756,0.09559436
0.652987,0.62647676,0.1243368
0.655193,0.7073198,0.057216633
0.657388,0.30483866,0.034803573
0.659574,0.5032549,0.038838822
0.661753,0.5394735,0.2886626
0.663924,0.34566385,0.064636424
0.66609,0.39103058,0.16984466
0.66825,0.3620238,0.11023427
0.670405,0.47602323,0.08219392
0.672558,0.390529,0.05094763
0.674708,0.17664492,0.20282191
0.676856,0.21028408,0.052614823
0.679003,0.1450653,0.05979606
0.681149,0.06900581,0.060634024
0.683297,-0.04577436,0.064160645
0.685445,0.2690862,0.12774065
0.687596,0.13664806,0.2462877
0.689749,0.055531967,0.116358235
0.691906,0.108779415,0.19281441
0.694067,0.27469724,0.07166388
0.696233,0.12989104,0.091076866
0.698404,0.27895218,0.052401178
0.700581,0.115453854,0.11350968
0.702764,0.4308365,0.10805373
0.704955,0.48376065,0.09436013
0.707154,0.5341347,0.045195907
0.70936,0.43436006,0.08676646
0.711576,0.5713581,0.10188914
0.713801,0.5593697,0.04168554
0.716036,0.57501495,0.11047282
0.718281,0.5922373,0.069866925
0.720537,0.6390244,0.05604969
0.722804,0.67778134,0.06287836
0.725083,0.805844,0.13800375
0.727374,0.7048339,0.17732865
0.729678,0.72667426,0.13019076
0.731995,0.7336646,0.022933664
0.734325,0.7347787,0.043787796
0.736669,0.6906129,0.11277569
0.739026,0.72162807,0.035573255
0.741399,0.7514462,0.043624572
0.743786,0.76547927,0.024124552
0.746188,0.7976391,0.0158772
0.748605,0.7293044,0.019866137
0.751039,0.69695234,0.035530347
0.753488,0.69898826,0.021663873
0.755953,0.7265606,0.046182416
0.758435,0.74313205,0.01872178
0.760934,0.7618924,0.048573975
0.763449,0.54815894,0.02003775
0.765982,0.3656212,0.069900125
0.768533,0.41200894,0.0049795974
0.771101,0.48118296,0.053777397
0.773687,0.65205693,0.038786396
0.77629,0.7947163,0.013647506
0.778912,0.87849957,0.08544092
0.781553,0.8560563,0.048906457
0.784212,0.8610675,0.022575455
0.786889,0.8334688,0.023254782
0.789586,0.97324026,0.020586401
0.792301,0.9477038,0.023610372
0.795035,0.98994714,0.022055898
0.797788,0.96697515,0.019149235
0.800561,0.96820724,0.015552323
0.803353,1.0239638,0.029883001
0.806164,1.0395085,0.025897559
0.808994,1.0233738,0.019454364
0.811845,1.0034778,0.035893016
0.814714,0.9211886,0.02283379
0.817604,1.0017521,0.021935575
0.820513,0.9323163,0.021695416
0.823441,0.9899602,0.0069398577
0.82639,0.99776757,0.022501923
0.829358,0.9911223,0.0057408432
0.832345,1.038425,0.012327427
0.835353,0.9971778,0.006557138
0.83838,0.9567563,0.023265747
0.841427,0.9769845,0.028241327
0.844494,0.9465766,0.02778263
0.84758,0.97377765,0.0047976742
0.850686,0.9873301,0.021459013
0.853811,0.96461165,0.0027201034
0.856956,0.95671695,0.00928061
0.86012,0.96039116,0.016440095
0.863304,0.96435386,0.020669281
0.866507,0.876538,0.012182248
0.86973,0.8574587,0.029265057
0.872971,0.8152809,0.06176121
0.876232,0.93340856,0.020875672
0.879512,0.9066182,0.03805731
0.882811,0.95943445,0.025692962
0.886128,0.9399794,0.0119399885
0.889465,1.0062783,0.029056352
0.89282,0.9676436,0.0435707
0.896194,1.0467129,0.02684278
0.899586,1.0036657,0.018431986
0.902996,0.9746864,0.011893548
0.906425,0.981869,0.010855005
0.909872,1.0016254,0.011941519
0.913336,1.0185769,0.011520919
0.916819,1.0399759,0.0043707406
0.920319,1.0422566,0.006237243
0.923836,1.0305041,0.012989672
0.927372,1.019123,0.01165793
0.930924,1.0794494,0.040186033
0.934493,1.0277953,0.014613787
0.938079,1.0116915,0.036344897
0.941683,1.0177162,0.007725177
0.945302,1.0549703,0.014589801
0.948938,1.0729222,0.012072411
0.952591,1.03209,0.02850272
0.956259,1.0281055,0.016291985
0.959944,0.98216164,0.01160795
0.963644,0.98788494,0.009724844
0.96736,0.9642796,0.02268105
0.971092,0.98058456,0.0072412277
0.974838,1.0128928,0.009401716
0.9786,1.0145357,0.008045769
0.982376,1.0372411,0.015646474
0.986167,0.98072433,0.013211965
0.989973,0.99306214,0.0058236783
0.993793,0.91390556,0.014770239
0.997627,0.90662694,0.017086305
1.00147,0.9117211,0.0012290641
1.00534,0.94430035,0.019982569
1.00921,0.9339328,0.024508014
1.0131,0.95162266,0.0049798596
1.017,0.98217475,0.018431505
1.02092,0.9522781,0.013718108
1.02484,0.95846885,0.007934711
1.02878,0.9667175,0.016751295
1.03274,0.9504649,0.016804202
1.0367,0.9457814,0.011857285
1.04068,0.98696315,0.0125052
1.04466,0.9843286,0.009010128
1.04866,0.97573054,0.018021917
1.05267,1.0,0.0049438155
1.0567,0.98271656,0.010924383
1.06073,0.97366846,0.007897139
1.06477,0.9650485,0.011078476
1.06883,0.97642523,0.0080681825
1.07289,0.9900477,0.014557426
1.07696,0.9708067,0.012970493
1.08105,0.9604087,0.007366005
1.08514,0.97552955,0.012781711
1.08924,0.9657038,0.0048622475
1.09336,0.93565863,0.0038543087
1.09748,0.95765185,0.0075557046
1.10161,0.95101976,0.009205813
1.10574,0.91508955,0.011928717
