#WAVELENGTH,FLUX,UNCERTAINTY
0.645323,0.5766211,0.24072416
0.64757,0.10528234,0.26054272
0.649804,0.04324643,0.21631438
0.652025,1.2390463,0.21872003
0.654235,-0.46223593,0.20758447
0.656434,0.2863601,0.21113251
0.658624,0.35260656,0.18916616
0.660806,-0.07067751,0.18323497
0.66298,-0.26008573,0.17470114
0.665148,0.07485339,0.16904733
0.66731,-0.074821115,0.16250661
0.669468,-0.053558394,0.15899539
0.671622,0.13860439,0.1553009
0.673773,-0.29332164,0.15702027
0.675921,-0.63223356,0.14021842
0.678069,-0.040728424,0.13754635
0.680215,0.13395445,0.13361587
0.682362,0.17268094,0.12523763
0.68451,-0.1473273,0.12903808
0.68666,0.11608633,0.12497974
0.688812,0.006953116,0.11794454
0.690968,0.08462065,0.110419735
0.693127,-0.07981968,0.10893512
0.69529,0.013412892,0.10062569
0.697459,-0.062971555,0.10004201
0.699633,-0.0767317,0.09163028
0.701814,0.028937714,0.08473787
0.704001,0.022937179,0.07847055
0.706196,0.18027548,0.06792171
0.708399,0.13470224,0.0546335
0.710611,0.03276944,0.04083986
0.712832,-0.017566238,0.030215355
0.715062,0.010967713,0.023726318
0.717303,-0.029061604,0.019642515
0.719554,-0.0017567972,0.015900485
0.721817,-0.0013071058,0.00053540734
0.72409,0.0033487396,0.012741493
0.726376,0.0032232653,0.011844783
0.728674,-0.031700734,0.010557676
0.730985,-0.007194048,0.00217194
0.73331,0.023331232,0.009339714
0.735647,0.0123788025,0.009845052
0.737999,-0.022694148,0.010917687
0.740365,0.001591997,0.011952599
0.742745,0.053555656,0.013652269
0.745141,0.086105265,0.01589001
0.747552,0.07256678,0.019523555
0.749978,0.09101614,0.022417806
0.75242,0.033848196,0.026863629
0.754879,0.19318919,0.03399861
0.757353,0.13365455,0.040862393
0.759845,0.15583009,0.043908976
0.762353,-0.0028464103,0.05045975
0.764878,0.06969619,0.04676129
0.767421,-0.030584529,0.047102913
0.769981,0.034422744,0.04378505
0.77256,0.0857944,0.039495908
0.775155,0.12143504,0.03751804
0.77777,0.2071795,0.037274763
0.780402,0.19669552,0.03553773
0.783053,0.20338055,0.03573381
0.785722,0.1480492,0.03571463
0.78841,0.15574908,0.036954757
0.791117,0.24350736,0.039059594
0.793843,0.32601374,0.039909996
0.796588,0.3047705,0.03788584
0.799352,0.42466366,0.03832124
0.802136,0.41090748,0.037175503
0.804939,0.5145204,0.036268774
0.807761,0.4260429,0.033279132
0.810602,0.47992593,0.035633642
0.813464,0.4392663,0.03419134
0.816344,0.48352787,0.034331705
0.819245,0.5840351,0.03355316
0.822165,0.54125637,0.03222352
0.825105,0.5403155,0.03185084
0.828064,0.56610763,0.031900167
0.831043,0.5049629,0.032787714
0.834042,0.6090873,0.03272225
0.837061,0.6352691,0.031795733
0.840099,0.47835484,0.031620353
0.843157,0.50161976,0.030295368
0.846235,0.50155586,0.029320803
0.849332,0.5582034,0.027918573
0.852449,0.58012563,0.03008114
0.855585,0.54233116,0.025372494
0.858741,0.4975246,0.024729319
0.861917,0.4733462,0.02388011
0.865111,0.36250812,0.022898328
0.868326,0.4770882,0.023767667
0.871559,0.41878733,0.02387332
0.874811,0.5403155,0.02405914
0.878083,0.51578397,0.024249954
0.881374,0.5726264,0.02422252
0.884683,0.51137817,0.024756419
0.888011,0.5587606,0.02450474
0.891358,0.5190784,0.024396285
0.894724,0.6138584,0.023643713
0.898108,0.61383104,0.02424417
0.90151,0.6705243,0.024419243
0.904931,0.70265865,0.023942737
0.90837,0.7416619,0.023100102
0.911827,0.77218854,0.02278205
0.915302,0.78702253,0.022118416
0.918794,0.79325217,0.022093598
0.922304,0.8273168,0.022370674
0.925832,0.83200264,0.022515146
0.929376,0.7930177,0.023437675
0.932938,0.79438174,0.023515835
0.936517,0.828757,0.025095114
0.940113,0.8192269,0.025502322
0.943726,0.8922735,0.02460884
0.947355,0.81996375,0.023586348
0.951,0.8842141,0.022496969
0.954662,0.9081854,0.022834327
0.958339,0.82856214,0.021538235
0.962033,0.8889304,0.020570006
0.965742,0.8843694,0.019856408
0.969467,0.8483348,0.019521486
0.973206,0.9121375,0.019017821
0.976962,0.89720297,0.017680993
0.980732,0.888495,0.017592512
0.984516,0.77138776,0.017655235
0.988316,0.74292547,0.017761223
0.99213,0.69835335,0.017841056
0.995957,0.73077077,0.017541483
0.999799,0.7092748,0.017444387
1.00366,0.71924335,0.017510153
1.00752,0.7387237,0.017359102
1.01141,0.7707363,0.017590564
1.0153,0.77553785,0.01708145
1.01921,0.78785384,0.020289037
1.02313,0.7448558,0.020328224
1.02707,0.8372427,0.017641017
1.03102,0.8421265,0.017445361
1.03497,0.88119686,0.01766504
1.03895,0.9260733,0.017006187
1.04293,0.92761093,0.01614589
1.04692,0.9296084,0.015265654
1.05093,0.9554704,0.014403867
1.05495,0.90903485,0.01305358
1.05897,0.9417813,0.012897569
1.06301,0.9590846,0.013423183
1.06706,0.9839449,0.013698428
1.07112,0.9936607,0.01435229
1.07519,0.99999994,0.015367713
1.07927,0.99138635,0.015584592
1.08336,0.9787019,0.016031591
1.08746,0.96723837,0.015679525
1.09157,0.9753892,0.016063012
1.09568,0.9745732,0.01562877
1.09981,0.97972184,0.014875895
1.10394,0.931563,0.014531351
1.10809,0.914482,0.013958542
1.11224,0.9010942,0.013010771
1.1164,0.8913357,0.012825498
1.12056,0.9240181,0.013384181
1.12474,0.9094155,0.014553668
1.12892,0.9082281,0.01451031
1.13311,0.880941,0.016041
1.13731,0.881282,0.016238756
1.14151,0.91282254,0.016504899
1.14572,0.87278104,0.015988844
