#WAVELENGTH,FLUX,UNCERTAINTY
0.64552456,0.05351208,0.023250895
0.6477704,0.025906334,0.021869052
0.65000284,0.086420454,0.022385515
0.65222293,0.020826446,0.01996848
0.6544318,0.024520298,0.018566338
0.6566304,0.052400984,0.016647195
0.6588198,0.0660284,0.015506751
0.66100085,0.049759883,0.014457465
0.66317457,0.06230529,0.015297246
0.6653419,0.004555616,0.014885096
0.6675037,0.0458703,0.014806431
0.669661,-0.002315704,0.01423569
0.67181444,0.03365486,0.013984968
0.67396504,0.039441384,0.013205599
0.67611355,0.031738386,0.012470868
0.6782608,0.03726383,0.012240248
0.6804076,0.023447493,0.012079385
0.6825546,0.040600933,0.011198619
0.68470275,0.042981967,0.0111978175
0.68685263,0.0475059,0.010787932
0.68900496,0.04478007,0.010337639
0.69116056,0.035019398,0.010390809
0.6933199,0.022246063,0.0097834105
0.69548386,0.040360935,0.008885386
0.69765294,0.045100525,0.009100007
0.6998278,0.045244526,0.008203197
0.702009,0.047230642,0.008165876
0.7041972,0.031231653,0.008735888
0.706393,0.05519579,0.0071867653
0.7085969,0.056549028,0.0070882034
0.7108094,0.041183952,0.007020077
0.7130311,0.058006737,0.0064645675
0.7152625,0.053214423,0.0068673287
0.717504,0.017290492,0.00624539
0.71975625,0.045366447,0.0063312505
0.72201955,0.06477733,0.0061291754
0.7242944,0.04929521,0.005820661
0.72658134,0.031654593,0.005630491
0.72888064,0.058386702,0.005758073
0.73119277,0.07070743,0.0062881676
0.7335181,0.035991326,0.005247176
0.73585707,0.04584034,0.004997236
0.73821,0.041532993,0.0049181147
0.7405772,0.038821194,0.0046513365
0.74295914,0.031790745,0.004572254
0.745356,0.033893816,0.0041442504
0.74776816,0.028929094,0.0048783803
0.7501959,0.031500407,0.004071338
0.7526396,0.026185546,0.004103441
0.75509936,0.013976448,0.003909853
0.7575756,0.01861101,0.004450681
0.7600685,0.0054249796,0.004786393
0.76257825,0.00054140383,0.0048339255
0.76510525,0.001955267,0.0043609007
0.76764953,-0.0014162954,0.0038126952
0.7702114,-0.00038174874,0.0033681921
0.7727911,-0.001473187,0.0033434709
0.77538866,0.012106013,0.0034927367
0.7780044,0.018877825,0.003292873
0.7806384,0.014531165,0.0031336625
0.78329086,0.034925282,0.003142297
0.785962,0.032528568,0.0032007408
0.78865176,0.044421066,0.0036792916
0.79136044,0.045966115,0.0030439342
0.79408807,0.056295466,0.0031873079
0.79683477,0.062901065,0.003180562
0.79960066,0.07529501,0.0031567453
0.8023858,0.092184655,0.0031367927
0.8051903,0.08684543,0.003175599
0.8080142,0.098253325,0.0036900174
0.81085765,0.11445816,0.0031546631
0.81372064,0.11816277,0.0031223146
0.8166032,0.11799469,0.003491601
0.81950533,0.13232793,0.0031030385
0.8224272,0.14711928,0.0031676935
0.8253687,0.1598066,0.003142388
0.82833,0.1695351,0.0030829506
0.8313109,0.1706724,0.0030422157
0.83431154,0.1782505,0.0031132214
0.83733195,0.18418802,0.003087421
0.840372,0.19081153,0.0030926801
0.8434318,0.19351052,0.002973479
0.8465112,0.1906495,0.0029118503
0.8496102,0.18644825,0.0028053045
0.85272884,0.19340752,0.0027734856
