#WAVELENGTH,FLUX,UNCERTAINTY
0.650387,1.0095338,0.100695185
0.652605,0.90010476,0.084374346
0.654812,1.029728,0.07748367
0.657009,0.8185042,0.06634214
0.659197,0.6989456,0.06634466
0.661377,0.6206385,0.061718974
0.663549,0.59647906,0.06320104
0.665716,0.76342136,0.064544804
0.667876,0.5508505,0.063705176
0.670033,0.40966743,0.05969016
0.672186,0.6329241,0.0596609
0.674336,0.4875736,0.056083933
0.676484,0.42834496,0.054503992
0.678631,0.35031348,0.050729845
0.680778,0.38573545,0.051552128
0.682925,0.3210491,0.047961798
0.685074,0.25308117,0.05102994
0.687224,0.36302775,0.04732729
0.689377,0.37837568,0.0475595
0.691533,0.4234228,0.043338995
0.693693,0.52786463,0.041138638
0.695858,0.5061428,0.04020621
0.698028,0.4795204,0.039298695
0.700204,0.61083746,0.03689574
0.702386,0.6003539,0.037937958
0.704576,0.7857896,0.034397785
0.706773,0.6681088,0.03394652
0.708978,0.7442057,0.03155101
0.711192,0.6897837,0.0310329
0.713416,0.68502766,0.029850353
0.715649,0.66932946,0.029468963
0.717892,0.6940053,0.028041206
0.720146,0.74187285,0.02843433
0.722411,0.6591962,0.026751222
0.724688,0.80925936,0.028138746
0.726977,0.85654557,0.025572065
0.729279,0.7893901,0.02513214
0.731593,0.8000975,0.023735367
0.733921,0.8335453,0.02442671
0.736262,0.8431079,0.022455493
0.738618,0.8317505,0.023070024
0.740987,0.85199165,0.021441156
0.743372,0.8710051,0.021683905
0.745771,0.8405114,0.020351306
0.748186,0.8433138,0.020629592
0.750617,0.8549421,0.019157344
0.753063,0.90455025,0.019941822
0.755526,0.9400889,0.019798419
0.758005,0.8959663,0.021199416
0.760501,0.853725,0.022255968
0.763013,0.8269546,0.022721823
0.765543,0.76913077,0.020207288
0.768091,0.7667257,0.01853902
0.770656,0.79702437,0.016782602
0.773238,0.8015312,0.017086381
0.775839,0.82621425,0.016014302
0.778458,0.85777694,0.016569752
0.781095,0.86287606,0.01583074
0.783751,0.8808675,0.015935611
0.786425,0.88483995,0.015523601
0.789118,0.9746958,0.015604204
0.79183,0.9627894,0.015092991
0.794561,0.949016,0.015280272
0.797311,0.98019576,0.01478047
0.80008,0.9894841,0.014965225
0.802869,1.004608,0.014294175
0.805677,1.0180889,0.014566069
0.808504,1.0315518,0.013850566
0.811351,0.9947384,0.014070782
0.814217,0.9529812,0.013299629
0.817103,0.9753892,0.013751943
0.820008,0.9900438,0.013113286
0.822934,0.97590923,0.013431801
0.825879,1.0364813,0.013251383
0.828843,1.0125493,0.013378066
0.831828,0.99346364,0.012908671
0.834832,1.0104005,0.012944639
0.837855,0.977184,0.015364089
0.840899,0.9687805,0.012667763
0.843962,0.9609658,0.0121268295
0.847045,0.9412806,0.012139648
0.850147,0.9512369,0.011288904
0.853269,0.94011414,0.011321802
0.856411,0.96368134,0.01076292
0.859572,0.9888881,0.0109790545
0.862752,0.95581603,0.010619516
0.865952,0.9552816,0.010849374
0.869171,0.9212019,0.010316602
0.87241,0.9264057,0.010686506
0.875667,0.96493804,0.010813839
0.878944,0.99051327,0.011217905
0.882239,1.003225,0.011687949
0.885554,0.9861074,0.010938103
0.888887,1.005825,0.010710448
0.892239,1.0416887,0.010653607
0.895609,1.0156296,0.010437941
0.898998,1.0072045,0.0104582
0.902405,1.0297136,0.010042217
0.905831,1.0049114,0.009770974
0.909274,1.017959,0.009494494
0.912736,1.0491605,0.009620166
0.916215,1.0478892,0.009256582
0.919712,1.0399408,0.009308441
0.923227,1.0411,0.009003287
0.926759,1.0430105,0.009702178
0.930309,1.02096,0.009922539
0.933875,1.0318551,0.01062486
0.937458,1.0254848,0.010544148
0.941059,1.00788,0.0103946775
0.944675,1.0181973,0.010139468
0.948309,1.035044,0.009968149
0.951958,1.0296919,0.009343289
0.955624,1.0014517,0.008970533
0.959306,1.0036619,0.008459103
0.963004,0.99419665,0.0083872015
0.966717,0.9854537,0.008205698
0.970445,1.0024123,0.008892421
0.974189,0.983269,0.008089921
0.977948,1.0028963,0.008030625
0.981722,0.9989347,0.0077684447
0.985511,1.0044852,0.00789354
0.989314,0.98925656,0.007891265
0.993132,0.98218566,0.008169731
0.996963,0.9616591,0.00811567
1.00081,0.968618,0.008033044
1.00467,0.98918426,0.007729913
1.00854,1.0,0.0077039837
1.01243,0.97967577,0.007756131
1.01633,0.9789355,0.00781987
1.02024,0.9719187,0.0076538953
1.02416,0.9666318,0.0078390455
1.0281,0.97203064,0.007548157
1.03205,0.9713374,0.007666029
1.03601,0.96025425,0.007522625
1.03999,0.97819877,0.007366545
1.04397,0.9782638,0.0072747106
1.04797,0.96875525,0.0070501254
1.05198,0.9676718,0.006417862
1.056,0.9656712,0.006085696
1.06003,0.97312486,0.005843379
1.06407,0.9665379,0.005931458
1.06812,0.9740024,0.006311149
1.07219,0.95659965,0.0066008456
1.07626,0.9669605,0.0067707924
1.08034,0.9606768,0.006990756
1.08443,0.97176707,0.0068653715
1.08853,0.9575241,0.0071154167
1.09264,0.946257,0.006774476
1.09676,0.9437977,0.006823806
1.10089,0.9472464,0.006586653
1.10503,0.94254816,0.006240801
1.10917,0.93446255,0.0058983066
1.11333,0.92469764,0.0057611144
1.11749,0.9214691,0.005628183
1.12166,0.9287061,0.0057854177
1.12583,0.91474855,0.0063456725
1.13002,0.8821531,0.006665668
1.13421,0.8865913,0.00660731
1.13841,0.8337691,0.006923441
1.14261,0.8614966,0.0065012462
1.14682,0.8661768,0.0066870824
1.15104,0.8999784,0.006646781
1.15526,0.8848038,0.0063861185
1.15949,0.8759922,0.006268788
1.16373,0.87503165,0.0059006177
1.16797,0.87577915,0.0054056915
1.17221,0.8538804,0.0055192662
1.17647,0.8596042,0.0046990365
1.18072,0.8531364,0.0045267413
1.18498,0.84115785,0.0043835905
1.18925,0.8553682,0.0048892787
1.19352,0.83874905,0.004849157
1.19779,0.84063417,0.0052749636
1.20207,0.8304323,0.005377596
1.20635,0.8362357,0.005716732
1.21063,0.8569717,0.0055054715
1.21492,0.8357843,0.00556643
1.21921,0.8474884,0.0056204903
1.22351,0.83496445,0.0054581277
1.22781,0.8269438,0.005523925
1.23211,0.8349501,0.0053508724
1.23641,0.823087,0.0050070425
1.24071,0.81975013,0.0047697453
1.24502,0.8177098,0.0044662887
1.24933,0.81423575,0.004303673
1.25364,0.8151133,0.004306959
1.25795,0.8187607,0.0045066993
1.26226,0.8195334,0.0051047993
1.26658,0.79875416,0.0057253987
1.27089,0.8125312,0.0071314513
1.27521,0.80387133,0.0065281866
1.27953,0.79715794,0.005966307
1.28384,0.8064389,0.005857138
1.28816,0.79984474,0.005494999
1.29248,0.7951862,0.0054023326
1.2968,0.7956376,0.0054525663
1.30111,0.7912355,0.0052532232
1.30543,0.7845185,0.0053656786
1.30975,0.76753104,0.005303276
1.31407,0.7776101,0.00498458
1.31838,0.7668521,0.004826153
1.3227,0.7677333,0.004540934
1.32701,0.7480951,0.0043051178
1.33133,0.7299412,0.004244123
1.33564,0.7003829,0.0038986676
1.33995,0.69267994,0.003814019
1.34426,0.68339175,0.00394872
1.34856,0.6956123,0.004606118
1.35287,0.67759925,0.0050622225
1.35717,0.6627171,0.006521217
1.36147,0.64837676,0.008216208
1.36577,0.6343217,0.008412517
1.37007,0.6611246,0.008144055
1.37436,0.6624211,0.007420787
1.37865,0.6423965,0.008070926
1.38294,0.65237087,0.0075635044
1.38723,0.6340436,0.007792171
1.39151,0.61991984,0.0071040774
1.39579,0.60661227,0.0074035255
1.40007,0.6176592,0.0077593084
1.40434,0.57599586,0.008141274
1.40861,0.6036655,0.008102742
1.41288,0.58535266,0.007924128
1.41714,0.58610386,0.007113359
1.4214,0.5791305,0.006188329
1.42566,0.59345275,0.0054013943
1.42991,0.5840779,0.005388791
1.43416,0.5851107,0.005414251
1.4384,0.5783034,0.0065304977
1.44264,0.57879096,0.006134629
1.44687,0.5661768,0.006661515
1.4511,0.5631252,0.0070478865
1.45533,0.58573544,0.0076761767
1.45955,0.58720523,0.007301723
1.46377,0.5523348,0.007306887
1.46798,0.55903363,0.0070224265
1.47219,0.5645698,0.0069619007
1.47639,0.56339604,0.007348272
1.48059,0.55916727,0.007330071
1.48478,0.55275005,0.0075132353
1.48897,0.5459897,0.005710556
1.49315,0.5606046,0.0050038286
1.49733,0.54483044,0.0048712944
1.5015,0.5407425,0.0061332206
1.50566,0.5350547,0.0064167427
1.50982,0.5446499,0.006404066
1.51398,0.53851074,0.0059591928
1.51813,0.5422665,0.0050181285
1.52227,0.5444585,0.00557423
1.52641,0.54919654,0.0061594024
1.53054,0.5401575,0.006307393
1.53467,0.5339461,0.006010184
1.53879,0.53400743,0.00600697
1.54291,0.5395038,0.005382074
1.54702,0.52784663,0.005350656
1.55112,0.5393738,0.0052476255
1.55522,0.52874225,0.005352606
1.55931,0.5351956,0.0057397713
1.5634,0.5324113,0.00566249
1.56748,0.5282619,0.005289119
1.57155,0.5350945,0.0047184285
1.57562,0.52479506,0.0046892855
1.57968,0.5206927,0.006201871
1.58373,0.50833845,0.006574411
1.58778,0.51816475,0.0064238203
1.59182,0.52456033,0.005314579
1.59586,0.5377668,0.004561338
1.59989,0.53280497,0.0054243985
1.60391,0.52200717,0.005958254
1.60793,0.5225056,0.0065016793
1.61194,0.50556505,0.006112961
1.61594,0.51464736,0.005962046
1.61994,0.51496875,0.005999206
1.62393,0.51389265,0.0053109317
1.62791,0.5289517,0.0053391717
1.63189,0.5086996,0.005084215
1.63586,0.5110397,0.004992489
1.63982,0.5141671,0.0053391717
1.64378,0.51082665,0.005481673
1.64773,0.5177856,0.0056194435
1.65168,0.51511323,0.005233542
1.65562,0.51161754,0.0045938035
1.65955,0.4986566,0.0038423678
1.66347,0.51040053,0.0048965733
1.66739,0.4923405,0.0060951216
1.67131,0.5072768,0.0062990873
1.67521,0.5021235,0.0060906797
1.67911,0.49818355,0.004383049
1.683,0.49730238,0.004109711
1.68689,0.4949731,0.005102994
1.69077,0.48630244,0.00543516
1.69464,0.47520137,0.0058473875
1.69851,0.48191833,0.0057553
1.70237,0.47361964,0.005523311
1.70622,0.46690628,0.005647142
1.71007,0.4626738,0.0051297536
1.71391,0.46483696,0.00492048
1.71774,0.4506663,0.0048159696
1.72157,0.44226643,0.0045199166
1.72539,0.4524683,0.0045740497
1.7292,0.436344,0.0046617314
1.73301,0.44250843,0.004687769
1.73681,0.42938507,0.004897657
1.74061,0.4327724,0.0051511326
1.7444,0.42639488,0.004925644
1.74818,0.41875705,0.004452205
1.75195,0.41336176,0.0047401325
1.75572,0.41147667,0.003385808
1.75949,0.40183458,0.0043538697
1.76324,0.38902536,0.0056178547
1.767,0.3864469,0.0059393314
1.77074,0.38595572,0.0055675493
1.77448,0.38019216,0.004117114
1.77821,0.37840092,0.0035679573
1.78194,0.37049583,0.0042760465
1.78566,0.36285436,0.0049430868
1.78937,0.36166626,0.00489177
1.79308,0.36938718,0.005272977
1.79678,0.353469,0.0054255174
1.80047,0.3561309,0.00573616
1.80416,0.35238165,0.00633733
1.80785,0.35469756,0.006160919
1.81152,0.3478022,0.0061602327
1.81519,0.34395003,0.0060784738
1.81886,0.33349252,0.005820339
1.82252,0.34205845,0.006026254
1.82617,0.33462283,0.0063691456
1.82982,0.34088984,0.006585642
1.83346,0.33366728,0.0065590264
1.8371,0.3149186,0.006992778
1.84073,0.3231487,0.008757395
1.84435,0.30966344,0.009078835
1.84797,0.30833557,0.009390308
1.85158,0.32045722,0.009493554
1.85519,0.29403707,0.008613883
1.85879,0.30228487,0.007528728
1.86239,0.3048402,0.006474379
1.86598,0.31443143,0.0066017117
1.86956,0.3050374,0.010460511
1.87314,0.27369148,0.013738148
1.87672,0.3051302,0.011399951
1.88029,0.2879405,0.007418079
1.88385,0.29242644,0.005273338
1.88741,0.30065727,0.0049094292
1.89096,0.30178434,0.005048897
1.89451,0.30579576,0.005190712
1.89805,0.3049702,0.005656459
1.90159,0.28876895,0.007489799
1.90512,0.29424906,0.0074151894
1.90864,0.3041808,0.006694378
1.91216,0.2988946,0.0060298657
1.91568,0.29658878,0.0062199635
1.91919,0.29187608,0.0069936807
1.92269,0.28876096,0.0072461814
1.92619,0.27853453,0.006690225
1.92969,0.28485465,0.0061669857
1.93318,0.281862,0.005018526
1.93666,0.2797772,0.0046399916
1.94014,0.27398542,0.0043233903
1.94362,0.27386734,0.0037499913
1.94709,0.2668907,0.003836734
1.95055,0.26144996,0.0043076454
1.95401,0.25755915,0.004921563
1.95747,0.27773756,0.0054356656
1.96092,0.2754173,0.0052708103
1.96436,0.27199453,0.0050818683
1.9678,0.2732704,0.0049917665
1.97124,0.2684544,0.0048981262
1.97467,0.25378212,0.0046944134
1.9781,0.2398476,0.0041618943
1.98152,0.25067607,0.0037263373
1.98493,0.25108737,0.0030650322
1.98835,0.25118378,0.0029694703
1.99175,0.25468168,0.002924546
1.99515,0.26836845,0.0040942547
1.99855,0.2792792,0.006031418
2.00195,0.26070818,0.00795374
2.00533,0.25497493,0.008648045
2.00872,0.24926044,0.0064088698
2.0121,0.25540394,0.005069626
2.01547,0.24775887,0.0049555455
2.01884,0.24546461,0.004451302
2.02221,0.24761187,0.0046814126
2.02557,0.24627498,0.0046372833
2.02892,0.25633097,0.004556752
2.03227,0.24810627,0.0043452387
2.03562,0.25388253,0.0042069987
2.03896,0.2511412,0.004602073
2.0423,0.24141276,0.0043867687
2.04563,0.24895637,0.0044050054
2.04896,0.24278033,0.003861688
2.05229,0.25312376,0.0047978046
2.05561,0.24494712,0.0051485323
2.05892,0.24392982,0.004794988
2.06223,0.24294211,0.003952367
2.06554,0.23622045,0.0032261782
2.06884,0.243287,0.0038952369
2.07214,0.24606444,0.0039377776
2.07543,0.24053809,0.0037648338
2.07872,0.2476505,0.0032552204
2.082,0.2385266,0.0029450906
2.08528,0.24365932,0.0031521288
2.08855,0.23806363,0.003345629
2.09182,0.23734428,0.0031678202
2.09509,0.23721753,0.002919035
2.09835,0.2380481,0.0026579539
2.10161,0.24177568,0.0028321368
