#WAVELENGTH,FLUX,UNCERTAINTY
0.6464038,0.4195045,0.06801226
0.6486442,0.4943823,0.069659464
0.6508718,0.46738753,0.06842324
0.6530873,0.3190571,0.06416025
0.6552921,0.25055102,0.056128096
0.657487,0.21278484,0.05169194
0.659673,0.24329273,0.048907116
0.661851,0.2883586,0.050742403
0.6640221,0.25903556,0.047528382
0.6661872,0.24518189,0.048617948
0.6683472,0.17530036,0.045704696
0.6705028,0.16069269,0.04655067
0.672655,0.17764522,0.042812992
0.6748047,0.17276494,0.04341288
0.6769527,0.15114757,0.039714146
0.6790996,0.16558953,0.040871657
0.6812465,0.20400198,0.037387524
0.6833938,0.20809513,0.036719695
0.6855425,0.18374349,0.036864694
0.6876933,0.18918718,0.034338392
0.6898468,0.27756235,0.03417102
0.6920038,0.1956086,0.032335736
0.6941649,0.3054106,0.030062973
0.6963308,0.3207888,0.029535173
0.698502,0.35035217,0.027855664
0.7006793,0.39314774,0.027121551
0.7028632,0.45284617,0.025012843
0.7050543,0.40397716,0.02401359
0.7072532,0.3741901,0.023537163
0.7094604,0.31809595,0.022847792
0.7116764,0.31015,0.021265225
0.7139018,0.31896594,0.021670396
0.7161371,0.309454,0.020357942
0.7183828,0.29279146,0.020995112
0.7206392,0.35057586,0.019731544
0.7229071,0.38075235,0.019186346
0.7251866,0.4249068,0.018558292
0.7274783,0.50237805,0.01898086
0.7297825,0.5418759,0.017553236
0.7320998,0.5791366,0.017723093
0.7344304,0.6491756,0.016778525
0.7367748,0.66631037,0.016538238
0.7391333,0.6761869,0.015783412
0.7415062,0.70570064,0.015688129
0.7438939,0.7228271,0.014491673
0.7462967,0.7069849,0.015081614
0.7487149,0.7463336,0.01422736
0.7511489,0.7761621,0.01431933
0.7535988,0.77844065,0.013523076
0.756065,0.79477173,0.014017732
0.7585477,0.77117413,0.015150387
0.7610471,0.7576767,0.018257521
0.7635636,0.6201508,0.017673379
0.7660973,0.54357445,0.016923523
0.7686485,0.55168617,0.014237302
0.7712173,0.5539482,0.012583479
0.7738039,0.5810341,0.011948795
0.7764086,0.6312453,0.011565167
0.7790315,0.63621676,0.01105394
0.7816727,0.67934376,0.011067198
0.7843324,0.6989643,0.01070594
0.7870107,0.7184937,0.010883255
0.7897079,0.7748778,0.010587457
0.792424,0.79255944,0.010716713
0.795159,0.8109289,0.010832712
0.7979132,0.8550005,0.011652167
0.8006867,0.9022289,0.011314111
0.8034793,0.916646,0.010927169
0.8062915,0.93006873,0.010840998
0.809123,0.9655316,0.011091226
0.811974,0.97249156,0.010835198
0.8148446,0.9447345,0.010990969
0.8177348,0.9473031,0.010575028
0.8206447,0.9344602,0.009709173
0.8235742,0.9424974,0.009908858
0.8265235,1.0079544,0.0100522
0.8294924,0.99527717,0.009812743
0.832481,0.96163726,0.00946723
0.8354894,0.95625156,0.009080289
0.8385175,0.9265059,0.009940344
0.8415653,0.9130003,0.009424145
0.8446327,0.88010603,0.009527716
0.8477198,0.8582319,0.008909604
0.8508265,0.86610323,0.0082235485
0.8539528,0.8739747,0.007960561
0.8570985,0.91001743,0.007896429
0.8602638,0.8999089,0.0075915987
0.8634485,0.9030575,0.0076549016
0.8666525,0.8931147,0.0075461934
0.8698758,0.88739747,0.007558373
0.8731184,0.91697735,0.00748811
0.8763801,0.929406,0.007619107
0.8796608,0.9419174,0.007624576
0.8829604,0.9683487,0.00758903
0.886279,0.95252305,0.007508162
0.8896163,0.94887733,0.007617284
0.8929722,0.9696744,0.0074497475
0.8963467,0.98417443,0.0074644964
0.8997396,0.9808601,0.007260502
0.9031509,0.9805287,0.007145911
0.9065803,1.0214599,0.0076064304
0.9100279,1.0522827,0.0077067697
0.9134933,1.049797,0.007407656
0.9169766,1.0769742,0.007506173
0.9204774,1.0711741,0.007266965
0.9239959,1.0691856,0.0070999255
0.9275318,1.0478085,0.007338968
0.9310848,1.0425885,0.007476593
0.934655,1.0239457,0.0078012263
0.9382421,1.0241114,0.007843317
0.941846,1.0372027,0.007679427
0.9454664,1.0491341,0.0075112274
0.9491033,1.0547684,0.0072804713
0.9527565,1.0535256,0.0069744806
0.9564258,1.0446599,0.006627807
0.960111,1.0455713,0.006461762
0.9638121,1.0535256,0.0066385786
0.9675286,1.0347999,0.006457453
0.9712607,1.01624,0.0061735855
0.9750079,1.01334,0.006049631
0.9787701,1.0337228,0.005650261
0.9825473,1.0360427,0.0056637665
0.9863392,0.9936201,0.0055727903
0.9901454,0.9781259,0.005607175
0.993966,0.94995445,0.00560121
0.9978007,0.93595165,0.0055338475
1.0016493,0.9515287,0.0053314283
1.0055116,0.9594002,0.0052160085
1.0093875,0.9761372,0.0052023367
1.0132766,0.9938686,0.0053338306
1.0171789,1.0,0.005381888
1.021094,0.9839258,0.0053759217
1.0250219,0.96072584,0.005393736
1.0289623,0.96105725,0.005236557
1.032915,0.9601459,0.005721601
1.0368798,0.9758887,0.0053157676
1.0408565,0.9824344,0.005167537
1.0448449,0.9838429,0.0050140033
1.0488447,0.99038863,0.004816803
1.0528558,0.9874058,0.0045002075
1.0568781,0.98964286,0.0043689623
1.0609112,0.9895601,0.004309968
1.0649549,0.9915486,0.0042881765
1.069009,0.9882344,0.004519264
1.0730734,0.99055433,0.004599801
1.0771477,0.9939515,0.0048429864
1.081232,0.9911344,0.004829729
1.0853257,0.99942005,0.0047791037
1.0894289,0.9918801,0.0048569064
1.0935413,0.9660287,0.004673461
1.0976626,0.9685973,0.004750518
1.1017926,0.9794516,0.0046466156
1.1059312,0.97083443,0.004438893
1.1100782,0.95998013,0.0042527965
1.1142333,0.95824015,0.0042972905
1.1183962,0.94224876,0.004398542
1.1225669,0.9480487,0.0046244096
1.1267451,0.94606024,0.004946972
1.1309307,0.92161745,0.0050779684
1.1351231,0.91316605,0.0050050546
1.1393226,0.8931974,0.005070097
1.1435288,0.90479743,0.004924269
1.1477413,0.90852606,0.0050256858
1.1519603,0.9171431,0.0048573203
1.1561852,0.9238546,0.0045828153
1.1604159,0.90032315,0.0044109705
1.1646523,0.90753174,0.004121054
1.1688943,0.88789463,0.0038144006
1.1731414,0.8794432,0.0036553985
1.1773936,0.8702461,0.0034632531
1.1816506,0.87107474,0.003355622
1.1859124,0.8763775,0.0032822106
1.1901785,0.86444616,0.003309968
1.194449,0.85326046,0.003519099
1.1987234,0.8456376,0.0036795924
1.2030019,0.8436491,0.0037641893
1.207284,0.85251474,0.0039645378
1.2115697,0.85284615,0.003811418
1.2158586,0.86602044,0.0039112605
1.2201506,0.8624576,0.0039169774
1.2244456,0.85906047,0.0038285693
1.2287433,0.8585633,0.0038334578
1.2330437,0.8434005,0.0036716382
1.2373464,0.8332091,0.0034617619
1.2416513,0.8310548,0.0033812246
1.2459583,0.8256857,0.0033258763
1.2502671,0.8315519,0.003446599
1.2545776,0.820068,0.003916812
1.2588897,0.83014333,0.0049240203
1.263203,0.8269699,0.0062750853
1.2675176,0.8434834,0.007221062
1.2718332,0.8266633,0.007461347
1.2761495,0.8294805,0.0070874146
1.2804666,0.8088906,0.005800564
1.2847841,0.8121469,0.005031817
1.289102,0.8232082,0.0042681256
1.2934201,0.8179468,0.003966526
1.2977382,0.8042008,0.0037914491
1.3020562,0.8052117,0.0036343527
1.3063738,0.79963547,0.0037158837
1.3106911,0.80115175,0.0037461265
1.3150077,0.78719866,0.0035179388
1.3193237,0.7858812,0.0035845556
1.3236387,0.7814318,0.0032190736
1.3279526,0.7624576,0.0031984425
1.3322655,0.7145166,0.0029934545
1.3365769,0.6939929,0.0030720027
1.340887,0.66347677,0.0029817717
1.3451954,0.65677357,0.0034391417
1.3495021,0.65646696,0.004055763
1.353807,0.658497,0.005089652
1.3581098,0.6720938,0.0072114514
1.3624105,0.6527882,0.009888143
1.366709,0.6609247,0.011306654
1.3710052,0.69709176,0.0102552
1.3752987,0.6698981,0.009161488
1.3795897,0.6483719,0.008617119
1.3838779,0.6545032,0.00818328
1.3881632,0.6259674,0.007870661
1.3924456,0.62023365,0.0073704533
1.3967248,0.62093794,0.007542465
1.4010009,0.58564925,0.007687381
1.4052736,0.5953766,0.007759135
1.4095429,0.5805867,0.007307234
1.4138087,0.5807192,0.0070300773
1.4180708,0.56118983,0.0061026597
1.4223292,0.5600298,0.0052192397
1.4265838,0.54910934,0.00450087
1.4308343,0.5445853,0.004495071
1.4350809,0.5440799,0.0044868668
1.4393233,0.5387439,0.004301931
1.4435616,0.5469965,0.004150717
1.4477954,0.5393487,0.004544453
1.4520249,0.54578674,0.0047276495
1.45625,0.53923273,0.0049139946
1.4604703,0.5408733,0.004459027
1.4646862,0.5248571,0.004463005
1.4688972,0.5169691,0.004197365
1.4731034,0.51843566,0.0042296797
1.4773047,0.51232916,0.004366393
