#WAVELENGTH,FLUX,UNCERTAINTY
0.651813,0.9244411,0.035231825
0.654024,0.7230019,0.050721742
0.656225,0.6386951,0.010410918
0.658416,0.60705453,0.044228207
0.660598,0.55260646,0.031751357
0.662773,0.5449244,0.008989394
0.664942,0.5140298,0.030713724
0.667104,0.49480328,0.012713708
0.669262,0.4646292,0.016307486
0.671416,0.41018066,0.0060823113
0.673567,0.42734,0.013074962
0.675716,0.3713495,0.017974693
0.677864,0.3280072,0.011460532
0.680011,0.32292983,0.0041056904
0.682158,0.2636734,0.00997506
0.684305,0.24800274,0.004754489
0.686455,0.24729635,0.011581519
0.688607,0.26910928,0.019837705
0.690762,0.3147464,0.005251735
0.69292,0.3445927,0.02099445
0.695083,0.4250695,0.0093139
0.697251,0.47898299,0.017072499
0.699425,0.50118935,0.011631695
0.701605,0.5884334,0.010679706
0.703792,0.6293121,0.0072560664
0.705986,0.65729076,0.01057509
0.708189,0.62137425,0.013047295
0.7104,0.59726655,0.01143133
0.712619,0.58208567,0.031479463
0.714849,0.5917927,0.008641184
0.717089,0.57868797,0.01741819
0.719339,0.63218546,0.021974916
0.7216,0.6863948,0.008848157
0.723873,0.7134654,0.0040897676
0.726157,0.76559865,0.017725902
0.728454,0.798612,0.008079354
0.730764,0.829029,0.011703826
0.733087,0.84543335,0.024003122
0.735424,0.8498074,0.00911865
0.737774,0.8628481,0.022395467
0.740138,0.8692683,0.014629325
0.742518,0.86498815,0.012839639
0.744912,0.86717516,0.004109676
0.747321,0.8794187,0.0041735545
0.749746,0.90123713,0.008696647
0.752186,0.9406067,0.005909444
0.754643,0.9433266,0.014867972
0.757116,0.9532638,0.011653394
0.759606,0.9314795,0.0068075904
0.762113,0.9104496,0.009325494
0.764637,0.81424046,0.015594401
0.767178,0.82879454,0.011968861
0.769736,0.84387726,0.007745213
0.772313,0.8788432,0.0054154373
0.774907,0.9147809,0.0075594275
0.777519,0.9248888,0.015093276
0.78015,0.92682415,0.0057755397
0.782799,0.94033813,0.0040390454
0.785467,0.9627577,0.0014366548
0.788153,0.95869493,0.012272607
0.790858,0.9903569,0.0062130173
0.793582,1.0100139,0.008613603
0.796325,1.0434067,0.004761054
0.799088,1.0477039,0.0059014717
