#WAVELENGTH,FLUX,UNCERTAINTY
0.65251875,0.9041238,0.21156353
0.6547262,1.0789443,0.16716577
0.65692353,1.1323562,0.15172128
0.6591117,0.59616834,0.13129148
0.6612917,0.5167993,0.12937023
0.66346455,0.47266555,0.12668668
0.6656311,0.3803707,0.12572056
0.66779226,0.5599606,0.118891075
0.66994894,0.6260882,0.1175482
0.672102,0.5163911,0.108081155
0.6742522,1.042817,0.107278444
0.67640054,0.6503631,0.09976332
0.6785477,0.3180495,0.09746084
0.68069446,0.28434652,0.09201591
0.6828416,0.5138301,0.092915155
0.6849899,0.26659238,0.08279602
0.6871401,0.14304455,0.091548815
0.68929285,0.5348983,0.08223569
0.69144887,0.18576609,0.08141325
0.6936088,0.20983793,0.07083913
0.6957734,0.21668929,0.06717293
0.6979432,0.3864266,0.066079505
0.7001189,0.094596006,0.065444924
0.702301,0.332053,0.062965296
0.70449024,0.29467863,0.06084677
0.70668703,0.5985173,0.057599135
0.70889205,0.26654074,0.05763942
0.71110576,0.29636702,0.053098496
0.7133287,0.40526378,0.05368305
0.7155614,0.31338418,0.05154898
0.7178044,0.35033372,0.05376843
0.720058,0.48118517,0.047773264
0.7223229,0.49204728,0.05052317
0.72459936,0.37077552,0.04846159
0.7268879,0.31923392,0.053177144
0.72918886,0.61849475,0.046926185
0.7315028,0.5571044,0.047404673
0.7338299,0.6620945,0.044199888
0.7361707,0.58361804,0.045029853
0.7385255,0.6337457,0.04138961
0.7408947,0.5666319,0.042694975
0.74327856,0.5636564,0.03986699
0.7456775,0.58580166,0.04053694
0.7480917,0.5714506,0.039580025
0.75052154,0.6023069,0.039019614
0.75296736,0.634684,0.037102267
0.7554293,0.5727223,0.040374294
0.75790775,0.67942005,0.04342123
0.7604028,0.5852234,0.04621749
0.7629149,0.34535095,0.042360097
0.76544416,0.21879725,0.039947513
0.76799077,0.20013592,0.0353092
0.770555,0.25254413,0.03349424
0.7731371,0.4018543,0.03197497
0.7757371,0.42929673,0.040513963
0.77835524,0.522058,0.030962365
0.78099173,0.5809678,0.03940676
0.7836467,0.6107011,0.031145137
0.78632027,0.6734225,0.031413775
0.78901255,0.6318597,0.030652238
0.7917237,0.7897229,0.03051333
0.7944539,0.7541325,0.030164912
0.7972032,0.81798846,0.030612541
0.79997164,0.86476856,0.029352525
0.80275935,0.8649159,0.02967376
0.8055665,0.8974957,0.028284548
0.808393,0.88467985,0.03167414
0.811239,0.95597017,0.027871441
0.8141046,0.89088356,0.027917925
0.8169898,0.8610403,0.025114391
0.8198946,0.7893648,0.026055695
0.82281905,0.8633504,0.026501268
0.8257632,0.92083406,0.02740644
0.82872707,0.98537725,0.02629069
0.83171064,0.8750037,0.026646046
0.83471394,0.89908916,0.026426874
0.83773696,0.88875484,0.02623501
0.84077966,0.853805,0.02505502
0.843842,0.8089185,0.025096793
0.84692407,0.7907968,0.022665717
0.8500258,0.835862,0.022548087
0.853147,0.850607,0.021008309
0.8562878,0.8125731,0.021713784
0.859448,0.8580303,0.021318711
0.86262774,0.8085942,0.021346532
0.8658268,0.79830354,0.025067443
0.8690452,0.7698805,0.020924523
0.8722828,0.77607113,0.020338759
0.87553954,0.80705744,0.021574246
0.87881535,0.864266,0.021997813
0.8821102,0.8691758,0.022191763
0.88542384,0.8928769,0.02142594
0.88875633,0.9028954,0.021194275
0.8921075,0.8704794,0.020832468
0.89547724,0.9030772,0.020617373
0.8988654,0.9028433,0.019513281
0.902272,0.93238086,0.019485295
0.90569675,0.9249207,0.017785234
0.90913963,0.9430698,0.01842064
0.91260046,0.9873951,0.017939921
0.91607916,0.98228276,0.017967863
0.9195756,1.0000247,0.01708139
0.9230895,1.0113392,0.018320791
0.9266209,0.99063474,0.019109828
0.9301696,0.91527563,0.021259224
0.9337353,0.98044664,0.02210469
0.9373181,0.94752055,0.022048138
0.9409176,0.9551159,0.021778433
